8190           8190ZT43800           FL218190FL51000000005.000                    20180112MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180112MB1B                9I3    
8190           8190ZP61420           CLA08190CL21000000040.000                    20180112MB1B                9I3    
8190           8190ZP61420           CLA08190CL21000000040.000                    20180112MB1B                9I3    
8190           8190ZP61590           CLA08190CL21000000040.000                    20180112MB1B                9I3    
8190           8190ZP61610           CLA08190CL21000000040.000                    20180112MB1B                9I3    
8190           8190ZP61950           CLA08190CL21000000100.000                    20180112MB1B                9I3    
8190           8190ZP61950           CLA08190CL21000000100.000                    20180112MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180112MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180112MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180112MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20180112MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20180112MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20180112MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20180112MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20180112MB1B                9I3    
8190           8190ZU24320           FL218190FL51000000005.000                    20180112MB1B                9I3    
8190           8190ZU24320           FL218190FL51000000005.000                    20180112MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180112MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180112MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180112MB1B                9I3    
8190           8190ZP61960           CLA08190CL21000000040.000                    20180112MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20180112MB1B                9I3    
8190           8190ZQ84650           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZP67960           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZP67960           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZP66950           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZP66950           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZP66950           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20180112MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20180112MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20180112MB1B                9I3    
8190           8190ZR48720           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZR48720           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZP67140           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZP63870           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZP63870           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ84650           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ84650           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ93360           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ93360           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZR48720           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZR48720           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZR48720           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZP67740           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZP67740           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZP67720           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZP67720           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZP67710           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZP67710           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZP67710           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZP67710           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZP67690           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZP67690           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZP67760           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZP67760           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZP67770           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZR48720           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZR23210           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZR23210           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZR23200           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZP67970           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZP67970           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZP67940           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZP67940           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZP67940           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZP67770           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZP67690           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZP63860           SXA08190SX21000000030.000                    20180112MB1B                9I3    
