8190           8190ZP66400           SXA08190SX21000000016.000                    20181107MB1B                9I3    
8190           8190ZP66360           SXA08190SX21000000016.000                    20181107MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20181107MB1B                9I3    
8190           8190ZP66340           SXA08190SX21000000016.000                    20181107MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20181107MB1B                9I3    
8190           8190ZP66340           SXA08190SX21000000016.000                    20181107MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20181107MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20181107MB1B                9I3    
8190           8190WY84940           SXA18190SX21000000005.000                    20181107MB1B                9I3    
8190           8190ZP66430           SXA08190SX21000000016.000                    20181107MB1B                9I3    
8190           8190ZP66630           SXA08190SX21000000016.000                    20181107MB1B                9I3    
8190           8190ZP66630           SXA08190SX21000000016.000                    20181107MB1B                9I3    
8190           8190ZU49270           FLA08190FL21000000200.000                    20181107MB1B                9I3    
8190           8190ZU49270           FLA08190FL21000000200.000                    20181107MB1B                9I3    
8190           8190ZU49270           FLA08190FL21000000200.000                    20181107MB1B                9I3    
8190           8190ZP67240           SXA08190SX21000000016.000                    20181107MB1B                9I3    
8190           8190ZU49270           FLA08190FL21000000200.000                    20181107MB1B                9I3    
8190           8190ZU49270           FLA08190FL21000000200.000                    20181107MB1B                9I3    
8190           8190ZP67180           SXA08190SX21000000016.000                    20181107MB1B                9I3    
8190           8190ZU49270           FLA08190FL21000000200.000                    20181107MB1B                9I3    
8190           8190ZP67180           SXA08190SX21000000016.000                    20181107MB1B                9I3    
8190           8190ZU49270           FLA08190FL21000000200.000                    20181107MB1B                9I3    
8190           8190WY84940           SXA18190SX21000000005.000                    20181107MB1B                9I3    
8190           8190WY75740           CL218190CL51000000020.000                    20181107MB1B                9I3    
8190           8190ZA52480           SXA18190SX21000000005.000                    20181107MB1B                9I3    
8190           8190ZP64990           SXA08190SX21000000016.000                    20181107MB1B                9I3    
8190           8190WY75740           CL218190CL51000000020.000                    20181107MB1B                9I3    
8190           8190ZA52480           SXA18190SX21000000005.000                    20181107MB1B                9I3    
8190           8190WY75740           CL218190CL51000000020.000                    20181107MB1B                9I3    
8190           8190ZP64990           SXA08190SX21000000016.000                    20181107MB1B                9I3    
8190           8190WZ91400           SXA18190SX21000000005.000                    20181107MB1B                9I3    
8190           8190ZP64860           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190WY75740           CL218190CL51000000020.000                    20181107MB1B                9I3    
8190           8190ZP64860           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190WY75740           CL218190CL51000000020.000                    20181107MB1B                9I3    
8190           8190ZA52480           SXA18190SX21000000005.000                    20181107MB1B                9I3    
8190           8190WY75740           CL218190CL51000000020.000                    20181107MB1B                9I3    
8190           8190WY84940           SXA18190SX21000000005.000                    20181107MB1B                9I3    
8190           8190WY75740           CL218190CL51000000020.000                    20181107MB1B                9I3    
8190           8190ZP90570           FLA08190FL51000000040.000                    20181107MB1B                9I3    
8190           8190WY75740           CL218190CL51000000020.000                    20181107MB1B                9I3    
8190           8190WY84940           SXA18190SX21000000005.000                    20181107MB1B                9I3    
8190           8190ZP90570           FLA08190FL51000000040.000                    20181107MB1B                9I3    
8190           8190WY75740           CL218190CL51000000020.000                    20181107MB1B                9I3    
8190           8190ZP90570           FLA08190FL51000000040.000                    20181107MB1B                9I3    
8190           8190WY75740           CL218190CL51000000020.000                    20181107MB1B                9I3    
8190           8190ZA52480           SXA18190SX21000000005.000                    20181107MB1B                9I3    
8190           8190WZ91400           SXA18190SX21000000005.000                    20181107MB1B                9I3    
8190           8190ZT45520           FL218190FL51000000020.000                    20181107MB1B                9I3    
8190           8190ZT45450           FL218190FL51000000020.000                    20181107MB1B                9I3    
8190           8190ZT45450           FL218190FL51000000020.000                    20181107MB1B                9I3    
8190           8190ZU06560           FL218190FL51000000020.000                    20181107MB1B                9I3    
8190           8190ZT44270           FL218190FL51000000020.000                    20181107MB1B                9I3    
8190           8190ZT44270           FL218190FL51000000020.000                    20181107MB1B                9I3    
8190           8190ZT44810           FL218190FL51000000020.000                    20181107MB1B                9I3    
8190           8190ZT44810           FL218190FL51000000020.000                    20181107MB1B                9I3    
8190           8190ZU06480           FL218190FL51000000020.000                    20181107MB1B                9I3    
8190           8190ZU06270           FL218190FL51000000020.000                    20181107MB1B                9I3    
8190           8190ZP62090           CLA08190CL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP62090           CLA08190CL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP62090           CLA08190CL21000000040.000                    20181107MB1B                9I3    
8190           8190ZT44270           FL218190FL51000000020.000                    20181107MB1B                9I3    
8190           8190ZG29710           CLA28190CL21000000180.000                    20181107MB1B                9I3    
8190           8190ZT45520           FL218190FL51000000020.000                    20181107MB1B                9I3    
8190           8190ZT45170           FL218190FL51000000020.000                    20181107MB1B                9I3    
8190           8190ZT44880           FL218190FL51000000020.000                    20181107MB1B                9I3    
8190           8190ZT44880           FL218190FL51000000020.000                    20181107MB1B                9I3    
8190           8190ZT44660           FL218190FL51000000020.000                    20181107MB1B                9I3    
8190           8190ZT44660           FL218190FL51000000020.000                    20181107MB1B                9I3    
8190           8190ZU06480           FL218190FL51000000020.000                    20181107MB1B                9I3    
8190           8190ZT44270           FL218190FL51000000020.000                    20181107MB1B                9I3    
8190           8190ZT44270           FL218190FL51000000020.000                    20181107MB1B                9I3    
8190           8190ZT45590           FL218190FL51000000020.000                    20181107MB1B                9I3    
8190           8190ZT45590           FL218190FL51000000020.000                    20181107MB1B                9I3    
8190           8190ZP62120           CLA08190CL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP62120           CLA08190CL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP62110           CLA08190CL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP62110           CLA08190CL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP63990           SXA08190SX21000000030.000                    20181107MB1B                9I3    
8190           8190ZP62110           CLA08190CL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP63990           SXA08190SX21000000030.000                    20181107MB1B                9I3    
8190           8190ZP67240           SXA08190SX21000000016.000                    20181107MB1B                9I3    
8190           8190ZP62000           CLA08190CL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP61990           CLA08190CL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP62120           CLA08190CL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP62120           CLA08190CL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP62120           CLA08190CL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP62070           CLA08190CL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP62070           CLA08190CL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP62070           CLA08190CL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP62030           CLA08190CL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP62030           CLA08190CL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP65010           SXA08190SX21000000016.000                    20181107MB1B                9I3    
8190           8190ZP64190           SXA08190SX21000000030.000                    20181107MB1B                9I3    
8190           8190ZP61970           CLA08190CL21000000040.000                    20181107MB1B                9I3    
8190           8190ZQ88090           CL218190CL51000000020.000                    20181107MB1B                9I3    
8190           8190ZQ89940           CL218190CL51000000020.000                    20181107MB1B                9I3    
8190           8190ZQ89940           CL218190CL51000000020.000                    20181107MB1B                9I3    
8190           8190ZQ91970           CL218190CL51000000020.000                    20181107MB1B                9I3    
8190           8190ZQ90040           CL218190CL51000000020.000                    20181107MB1B                9I3    
8190           8190ZQ90040           CL218190CL51000000020.000                    20181107MB1B                9I3    
8190           8190ZQ90040           CL218190CL51000000020.000                    20181107MB1B                9I3    
8190           8190ZQ87890           CL218190CL51000000020.000                    20181107MB1B                9I3    
8190           8190ZQ91970           CL218190CL51000000020.000                    20181107MB1B                9I3    
8190           8190ZQ87890           CL218190CL51000000020.000                    20181107MB1B                9I3    
8190           8190ZU49300           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZQ92030           CL218190CL51000000020.000                    20181107MB1B                9I3    
8190           8190ZQ92030           CL218190CL51000000020.000                    20181107MB1B                9I3    
8190           8190ZQ89830           CL218190CL51000000020.000                    20181107MB1B                9I3    
8190           8190ZQ88300           CL218190CL51000000020.000                    20181107MB1B                9I3    
8190           8190ZQ89740           CL218190CL51000000020.000                    20181107MB1B                9I3    
8190           8190ZQ89740           CL218190CL51000000020.000                    20181107MB1B                9I3    
8190           8190ZQ88000           CL218190CL51000000020.000                    20181107MB1B                9I3    
8190           8190ZQ88000           CL218190CL51000000020.000                    20181107MB1B                9I3    
8190           8190ZQ88000           CL218190CL51000000020.000                    20181107MB1B                9I3    
8190           8190ZQ88300           CL218190CL51000000020.000                    20181107MB1B                9I3    
8190           8190ZQ87760           CL218190CL51000000020.000                    20181107MB1B                9I3    
8190           8190ZQ87760           CL218190CL51000000020.000                    20181107MB1B                9I3    
8190           8190ZQ89830           CL218190CL51000000020.000                    20181107MB1B                9I3    
8190           8190ZU49290           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZU49290           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP63520           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP63520           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP63520           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP63520           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP63520           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP63520           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP63520           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP61950           CLA08190CL21000000100.000                    20181107MB1B                9I3    
8190           8190ZP61950           CLA08190CL21000000100.000                    20181107MB1B                9I3    
8190           8190ZP61950           CLA08190CL21000000100.000                    20181107MB1B                9I3    
8190           8190ZP63540           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP63540           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP63540           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZU49290           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZU49290           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZU49290           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZU49280           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP63600           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP63600           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP63600           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP63600           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP63600           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP63580           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP61950           CLA08190CL21000000100.000                    20181107MB1B                9I3    
8190           8190ZK50340           SXA18190SX21000000005.000                    20181106MB1B                9I3    
8190           8190ZR02120           SX518190SX91000000008.000                    20181101MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181106MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181106MB1B                9I3    
8190           8190ZK50340           SXA18190SX21000000005.000                    20181101MB1B                9I3    
8190           8190ZY51560           FLA08190FLA1000000010.000                    20181101MB1B                9I3    
8190           8190ZY51560           FLA08190FLA1000000010.000                    20181102MB1B                9I3    
8190           8190ZK50340           SXA18190SX21000000005.000                    20181101MB1B                9I3    
8190           8190ZK50340           SXA18190SX21000000005.000                    20181102MB1B                9I3    
8190           8190ZK50340           SXA18190SX21000000005.000                    20181102MB1B                9I3    
8190           8190ZR01500           SX518190SX91000000008.000                    20181101MB1B                9I3    
8190           8190VAS1300           SX218190SX51000000030.000                    20181102MB1B                9I3    
8190           8190ZY51560           FLA08190FLA1000000010.000                    20181102MB1B                9I3    
8190           8190ZY51560           FLA08190FLA1000000010.000                    20181102MB1B                9I3    
8190           8190ZY51560           FLA08190FLA1000000010.000                    20181102MB1B                9I3    
8190           8190ZY51560           FLA08190FLA1000000010.000                    20181102MB1B                9I3    
8190           8190ZK50340           SXA18190SX21000000005.000                    20181105MB1B                9I3    
8190           8190ZK50340           SXA18190SX21000000005.000                    20181105MB1B                9I3    
8190           8190VAS1300           SX218190SX51000000030.000                    20181105MB1B                9I3    
8190           8190ZY51560           FLA08190FLA1000000010.000                    20181101MB1B                9I3    
8190           8190VAS1300           SX218190SX51000000030.000                    20181105MB1B                9I3    
8190           8190VAS1300           SX218190SX51000000030.000                    20181105MB1B                9I3    
8190           8190ZK50340           SXA18190SX21000000005.000                    20181106MB1B                9I3    
8190           8190ZR01500           SX518190SX91000000008.000                    20181101MB1B                9I3    
8190           8190ZR02120           SX518190SX91000000008.000                    20181101MB1B                9I3    
8190           8190ZY51560           FLA08190FLA1000000010.000                    20181101MB1B                9I3    
8190           8190ZQ87840           CL218190CL51000000020.000                    20181107MB1B                9I3    
8190           8190ZQ87840           CL218190CL51000000020.000                    20181107MB1B                9I3    
8190           8190ZQ90390           CL218190CL51000000020.000                    20181107MB1B                9I3    
8190           8190ZQ89650           CL218190CL51000000020.000                    20181107MB1B                9I3    
8190           8190ZQ88090           CL218190CL51000000020.000                    20181107MB1B                9I3    
8190           8190ZR45070           CL218190CL51000000020.000                    20181107MB1B                9I3    
8190           8190ZQ87760           CL218190CL51000000020.000                    20181107MB1B                9I3    
8190           8190ZQ87760           CL218190CL51000000020.000                    20181107MB1B                9I3    
8190           8190ZQ89380           CL218190CL51000000020.000                    20181107MB1B                9I3    
8190           8190ZQ89740           CL218190CL51000000020.000                    20181107MB1B                9I3    
8190           8190ZQ87600           CL218190CL51000000020.000                    20181107MB1B                9I3    
8190           8190ZQ87600           CL218190CL51000000020.000                    20181107MB1B                9I3    
8190           8190ZQ90320           CL218190CL51000000020.000                    20181107MB1B                9I3    
8190           8190ZY51560           FLA08190FLA1000000010.000                    20181102MB1B                9I3    
8190           8190ZY51560           FLA08190FLA1000000010.000                    20181105MB1B                9I3    
8190           8190VAS1300           SX218190SX51000000030.000                    20181102MB1B                9I3    
8190           8190VAS1300           SX218190SX51000000030.000                    20181105MB1B                9I3    
8190           8190ZK50340           SXA18190SX21000000005.000                    20181101MB1B                9I3    
8190           8190ZP63750           FLA08190FL51000000040.000                    20181101MB1B                9I3    
8190           8190ZY51560           FLA08190FLA1000000010.000                    20181102MB1B                9I3    
8190           8190ZY51560           FLA08190FLA1000000010.000                    20181107MB1B                9I3    
8190           8190ZY51560           FLA08190FLA1000000010.000                    20181107MB1B                9I3    
8190           8190ZQ90320           CL218190CL51000000020.000                    20181107MB1B                9I3    
8190           8190ZQ89740           CL218190CL51000000020.000                    20181107MB1B                9I3    
8190           8190ZP61950           CLA08190CL21000000100.000                    20181107MB1B                9I3    
8190           8190ZP63640           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZQ95600           SX218190SX51000000008.000                    20181107MB1B                9I3    
8190           8190ZQ95770           SX218190SX51000000008.000                    20181107MB1B                9I3    
8190           8190ZQ95910           SX218190SX51000000008.000                    20181107MB1B                9I3    
8190           8190ZQ96010           SX218190SX51000000008.000                    20181107MB1B                9I3    
8190           8190ZQ96960           SX218190SX51000000008.000                    20181107MB1B                9I3    
8190           8190ZQ96620           SX218190SX51000000008.000                    20181107MB1B                9I3    
8190           8190ZQ99190           SX218190SX51000000008.000                    20181107MB1B                9I3    
8190           8190ZQ97030           SX218190SX51000000008.000                    20181107MB1B                9I3    
8190           8190ZQ88890           SX218190SX51000000015.000                    20181107MB1B                9I3    
8190           8190ZQ88890           SX218190SX51000000015.000                    20181107MB1B                9I3    
8190           8190ZQ95040           SX218190SX51000000008.000                    20181107MB1B                9I3    
8190           8190ZQ98200           SX218190SX51000000008.000                    20181107MB1B                9I3    
8190           8190ZQ98440           SX218190SX51000000008.000                    20181107MB1B                9I3    
8190           8190ZP64800           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP64800           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZQ96010           SX218190SX51000000008.000                    20181107MB1B                9I3    
8190           8190ZQ99290           SX218190SX51000000008.000                    20181107MB1B                9I3    
8190           8190ZQ99290           SX218190SX51000000008.000                    20181107MB1B                9I3    
8190           8190ZQ99290           SX218190SX51000000008.000                    20181107MB1B                9I3    
8190           8190ZQ95480           SX218190SX51000000008.000                    20181107MB1B                9I3    
8190           8190ZQ96090           SX218190SX51000000008.000                    20181107MB1B                9I3    
8190           8190ZQ99100           SX218190SX51000000008.000                    20181107MB1B                9I3    
8190           8190ZQ98550           SX218190SX51000000008.000                    20181107MB1B                9I3    
