8190           8190ZQ84860           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ91320           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ89110           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ89110           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ88990           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ88990           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZE20540           FLA18190FL21000000010.000                    20171130MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ84100           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ91320           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ84650           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZP67080           SXA08190VN91000000090.000                    20171130MB1B                9I3    
8190           8190ZQ84860           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZE20540           FLA18190FL21000000010.000                    20171130MB1B                9I3    
8190           8190ZE20540           FLA18190FL21000000010.000                    20171130MB1B                9I3    
8190           8190ZE20540           FLA18190FL21000000010.000                    20171130MB1B                9I3    
8190           8190ZE20540           FLA18190FL21000000010.000                    20171130MB1B                9I3    
8190           8190ZE20540           FLA18190FL21000000010.000                    20171130MB1B                9I3    
8190           8190ZE20540           FLA18190FL21000000010.000                    20171130MB1B                9I3    
8190           8190ZP66980           SXA08190VN91000000090.000                    20171130MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZP66980           SXA08190VN91000000090.000                    20171130MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZP66980           SXA08190VN91000000090.000                    20171130MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ93360           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ83740           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ89050           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ89050           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ83740           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ86770           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ86770           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ86540           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ86540           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ86540           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ88890           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ86000           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ88400           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ88400           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ86640           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ86640           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ91380           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZP67080           SXA08190VN91000000090.000                    20171130MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ89110           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20171130MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171130MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171130MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171130MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171130MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171130MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171130MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171130MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171130MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171130MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171130MB1B                9I3    
8190           8190ZP67840           FLA08190FL21000000010.000                    20171130MB1B                9I3    
8190           8190ZT91380           FL218190FL51000000020.000                    20171130MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171130MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171130MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171130MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20171130MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20171130MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20171130MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20171130MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20171130MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20171130MB1B                9I3    
