8190           8190WZ92160           SX518190SX91000000001.000                    20181013MB1B                9I3    
8190           8190WZ92160           SX518190SX91000000001.000                    20181013MB1B                9I3    
8190           8190ZQ99990           SX518190SX91000000008.000                    20181013MB1B                9I3    
8190           8190ZQ99440           SX518190SX91000000008.000                    20181013MB1B                9I3    
8190           8190ZQ96600           SX518190SX91000000008.000                    20181013MB1B                9I3    
8190           8190ZT43090           SX518190SX91000000008.000                    20181013MB1B                9I3    
8190           8190ZR00920           SX518190SX91000000008.000                    20181013MB1B                9I3    
8190           8190ZR01360           SX518190SX91000000008.000                    20181013MB1B                9I3    
8190           8190ZR01310           SX518190SX91000000008.000                    20181013MB1B                9I3    
8190           8190ZT42850           SX518190SX91000000008.000                    20181013MB1B                9I3    
8190           8190ZR00760           SX518190SX91000000008.000                    20181013MB1B                9I3    
8190           8190ZR00860           SX518190SX91000000008.000                    20181013MB1B                9I3    
8190           8190ZR00450           SX518190SX91000000008.000                    20181013MB1B                9I3    
8190           8190ZR00980           SX518190SX91000000008.000                    20181013MB1B                9I3    
8190           8190ZR00920           SX518190SX91000000008.000                    20181013MB1B                9I3    
8190           8190ZR00420           SX518190SX91000000008.000                    20181013MB1B                9I3    
8190           8190ZR00950           SX518190SX91000000008.000                    20181013MB1B                9I3    
8190           8190ZR01590           SX518190SX91000000008.000                    20181013MB1B                9I3    
8190           8190ZQ98980           SX518190SX91000000008.000                    20181013MB1B                9I3    
8190           8190ZQ98980           SX518190SX91000000008.000                    20181013MB1B                9I3    
8190           8190ZQ95560           SX518190SX91000000008.000                    20181013MB1B                9I3    
8190           8190ZR01220           SX518190SX91000000008.000                    20181013MB1B                9I3    
8190           8190ZR00510           SX518190SX91000000008.000                    20181013MB1B                9I3    
8190           8190ZR01500           SX518190SX91000000008.000                    20181013MB1B                9I3    
8190           8190ZR01220           SX518190SX91000000008.000                    20181013MB1B                9I3    
8190           8190ZR00800           SX518190SX91000000008.000                    20181013MB1B                9I3    
8190           8190ZR00730           SX518190SX91000000008.000                    20181013MB1B                9I3    
8190           8190ZR01590           SX518190SX91000000008.000                    20181013MB1B                9I3    
8190           8190ZR01390           SX518190SX91000000008.000                    20181013MB1B                9I3    
8190           8190ZQ94930           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ84310           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ83560           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ86520           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ86520           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZR10660           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ95280           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ94370           SX518190SX91000000015.000                    20181013MB1B                9I3    
