8190           8190ZP63830           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZP66020           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZP66230           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZP66230           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZP66230           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZP66220           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZP66220           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZP66220           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZP66220           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZP66220           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZP66200           SXA08190SX21000000500.000                    20171221MB1B                9I3    
8190           8190ZP66200           SXA08190SX21000000500.000                    20171221MB1B                9I3    
8190           8190ZP66020           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZP65120           SXA08190SX21000000016.000                    20171221MB1B                9I3    
8190           8190ZP67840           FLA08190FL21000000010.000                    20171221MB1B                9I3    
8190           8190ZP64410           SXA08190SX21000000016.000                    20171221MB1B                9I3    
8190           8190ZP64370           SXA08190SX21000000016.000                    20171221MB1B                9I3    
8190           8190ZP64370           SXA08190SX21000000016.000                    20171221MB1B                9I3    
8190           8190ZP64360           SXA08190SX21000000016.000                    20171221MB1B                9I3    
8190           8190ZP64360           SXA08190SX21000000016.000                    20171221MB1B                9I3    
8190           8190ZP64330           SXA08190SX21000000016.000                    20171221MB1B                9I3    
8190           8190ZP64300           SXA08190SX21000000016.000                    20171221MB1B                9I3    
8190           8190ZP64300           SXA08190SX21000000016.000                    20171221MB1B                9I3    
8190           8190ZP64300           SXA08190SX21000000016.000                    20171221MB1B                9I3    
8190           8190ZP64190           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZP64190           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZP64410           SXA08190SX21000000016.000                    20171221MB1B                9I3    
8190           8190ZP64420           SXA08190SX21000000016.000                    20171221MB1B                9I3    
8190           8190ZP62730           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZP62730           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZP62730           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZP66890           SXA08190SX21000000016.000                    20171221MB1B                9I3    
8190           8190ZP65230           SXA08190SX21000000016.000                    20171221MB1B                9I3    
8190           8190ZP65210           SXA08190SX21000000016.000                    20171221MB1B                9I3    
8190           8190ZP65180           SXA08190SX21000000016.000                    20171221MB1B                9I3    
8190           8190ZP65160           SXA08190SX21000000016.000                    20171221MB1B                9I3    
8190           8190ZP65160           SXA08190SX21000000016.000                    20171221MB1B                9I3    
8190           8190ZP65120           SXA08190SX21000000016.000                    20171221MB1B                9I3    
8190           8190ZP64450           SXA08190SX21000000016.000                    20171221MB1B                9I3    
8190           8190ZP63660           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZP63820           FLA08190FL21000000040.000                    20171221MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20171221MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171221MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171221MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171221MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171221MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171221MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171221MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171221MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171221MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171221MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171221MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171221MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171221MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171221MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20171221MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20171221MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20171221MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20171221MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20171221MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20171221MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20171221MB1B                9I3    
8190           8190ZQ84350           SX218190SX51000000015.000                    20171221MB1B                9I3    
8190           8190ZS06090           SX218190SX51000000015.000                    20171221MB1B                9I3    
8190           8190ZQ84350           SX218190SX51000000015.000                    20171221MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171221MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171221MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20171221MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171221MB1B                9I3    
8190           8190ZU02430           FL218190FL51000000005.000                    20171221MB1B                9I3    
8190           8190ZU02430           FL218190FL51000000005.000                    20171221MB1B                9I3    
8190           8190ZU02430           FL218190FL51000000005.000                    20171221MB1B                9I3    
8190           8190ZU02430           FL218190FL51000000005.000                    20171221MB1B                9I3    
8190           8190ZU02430           FL218190FL51000000005.000                    20171221MB1B                9I3    
8190           8190ZU02430           FL218190FL51000000005.000                    20171221MB1B                9I3    
8190           8190W53415A           CLA08190CL21000000040.000                    20171221MB1B                9I3    
8190           8190W53542A           CLA08190CL21000000040.000                    20171221MB1B                9I3    
8190           8190ZP61400           CLA08190CL21000000040.000                    20171221MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171221MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171221MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171221MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20171221MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20171221MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20171221MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20171221MB1B                9I3    
8190           8190ZU02270           FLA18190FL51000000005.000                    20171221MB1B                9I3    
8190           8190ZU02270           FLA18190FL51000000005.000                    20171221MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171221MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171221MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171221MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171221MB1B                9I3    
8190           8190ZP61460           CLA08190CL21000000040.000                    20171221MB1B                9I3    
8190           8190ZP67840           FLA08190FL21000000010.000                    20171221MB1B                9I3    
8190           8190ZQ95270           SX218190SX51000000008.000                    20171221MB1B                9I3    
8190           8190ZQ95400           SX218190SX51000000008.000                    20171221MB1B                9I3    
8190           8190ZQ95480           SX218190SX51000000008.000                    20171221MB1B                9I3    
8190           8190ZQ99850           SX218190SX51000000008.000                    20171221MB1B                9I3    
8190           8190ZQ95600           SX218190SX51000000008.000                    20171221MB1B                9I3    
8190           8190ZQ95770           SX218190SX51000000008.000                    20171221MB1B                9I3    
8190           8190ZQ98440           SX218190SX51000000008.000                    20171221MB1B                9I3    
8190           8190ZQ98550           SX218190SX51000000008.000                    20171221MB1B                9I3    
8190           8190ZQ96090           SX218190SX51000000008.000                    20171221MB1B                9I3    
8190           8190ZQ99100           SX218190SX51000000008.000                    20171221MB1B                9I3    
8190           8190ZQ95040           SX218190SX51000000008.000                    20171221MB1B                9I3    
8190           8190ZQ94750           SX218190SX51000000008.000                    20171221MB1B                9I3    
8190           8190ZQ98350           SX218190SX51000000008.000                    20171221MB1B                9I3    
8190           8190ZU24320           FL218190FL51000000005.000                    20171221MB1B                9I3    
8190           8190ZU24320           FL218190FL51000000005.000                    20171221MB1B                9I3    
8190           8190ZU24320           FL218190FL51000000005.000                    20171221MB1B                9I3    
8190           8190ZU24320           FL218190FL51000000005.000                    20171221MB1B                9I3    
8190           8190ZQ99790           SX218190SX51000000008.000                    20171221MB1B                9I3    
8190           8190ZQ99190           SX218190SX51000000008.000                    20171221MB1B                9I3    
8190           8190ZT42880           SX218190SX51000000008.000                    20171221MB1B                9I3    
8190           8190ZQ98110           SX218190SX51000000008.000                    20171221MB1B                9I3    
8190           8190ZQ98200           SX218190SX51000000008.000                    20171221MB1B                9I3    
8190           8190ZQ98270           SX218190SX51000000008.000                    20171221MB1B                9I3    
8190           8190ZQ98720           SX218190SX51000000008.000                    20171221MB1B                9I3    
8190           8190ZQ98800           SX218190SX51000000008.000                    20171221MB1B                9I3    
8190           8190ZQ98870           SX218190SX51000000008.000                    20171221MB1B                9I3    
