8190           8190ZC7290A           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190ZP63660           SXA08190SX21000000030.000                    20181130MB1B                9I3    
8190           8190ZP63660           SXA08190SX21000000030.000                    20181130MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190ZP67460           SXA08190SX21000000030.000                    20181130MB1B                9I3    
8190           8190ZA52450           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190ZA52450           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190ZA52450           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190ZA52450           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190ZA52450           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190ZA52450           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190ZA52450           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190ZP63660           SXA08190SX21000000030.000                    20181130MB1B                9I3    
8190           8190ZA52450           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190ZA52450           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190ZA52450           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190ZA52450           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190ZP67460           SXA08190SX21000000030.000                    20181130MB1B                9I3    
8190           8190ZP67460           SXA08190SX21000000030.000                    20181130MB1B                9I3    
8190           8190ZA52450           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190ZA52450           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190ZA52450           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190ZA52450           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190ZA52450           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190ZA52450           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190ZA52450           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190ZP66570           SXA08190SX21000000016.000                    20181130MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190ZP63990           SXA08190SX21000000030.000                    20181130MB1B                9I3    
8190           8190ZP63990           SXA08190SX21000000030.000                    20181130MB1B                9I3    
8190           8190ZP63990           SXA08190SX21000000030.000                    20181130MB1B                9I3    
8190           8190ZP64210           SXA08190SX21000000030.000                    20181130MB1B                9I3    
8190           8190ZP65010           SXA08190SX21000000016.000                    20181130MB1B                9I3    
8190           8190ZA52440           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190ZA52440           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190ZA52440           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190ZA52440           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190ZR01040           SX218190SX51000000008.000                    20181130MB1B                9I3    
8190           8190ZU03150           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190ZF37080           SXA28190SX21000000020.000                    20181130MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190WF9525C           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190WF9525C           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190WF9525C           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190WF9525C           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190WF9525C           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190ZF37110           SXA28190SX21000000020.000                    20181130MB1B                9I3    
8190           8190ZA52440           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190ZA52440           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190ZA52440           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190ZA52440           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190ZA52440           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190ZA52440           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190ZT45980           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190ZQ89380           CL218190CL51000000020.000                    20181130MB1B                9I3    
8190           8190ZQ87760           CL218190CL51000000020.000                    20181130MB1B                9I3    
8190           8190ZQ87760           CL218190CL51000000020.000                    20181130MB1B                9I3    
8190           8190ZQ87890           CL218190CL51000000020.000                    20181130MB1B                9I3    
8190           8190ZQ90040           CL218190CL51000000020.000                    20181130MB1B                9I3    
8190           8190ZQ90160           CL218190CL51000000020.000                    20181130MB1B                9I3    
8190           8190ZQ87660           CL218190CL51000000020.000                    20181130MB1B                9I3    
8190           8190ZQ90390           CL218190CL51000000020.000                    20181130MB1B                9I3    
8190           8190ZQ89940           CL218190CL51000000020.000                    20181130MB1B                9I3    
8190           8190ZQ89380           CL218190CL51000000020.000                    20181130MB1B                9I3    
8190           8190ZQ91970           CL218190CL51000000020.000                    20181130MB1B                9I3    
8190           8190ZQ91970           CL218190CL51000000020.000                    20181130MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190ZQ89530           CL218190CL51000000020.000                    20181130MB1B                9I3    
8190           8190ZQ89530           CL218190CL51000000020.000                    20181130MB1B                9I3    
8190           8190ZQ90320           CL218190CL51000000020.000                    20181130MB1B                9I3    
8190           8190ZQ90320           CL218190CL51000000020.000                    20181130MB1B                9I3    
8190           8190ZQ89830           CL218190CL51000000020.000                    20181130MB1B                9I3    
8190           8190ZQ89940           CL218190CL51000000020.000                    20181130MB1B                9I3    
8190           8190ZQ89650           CL218190CL51000000020.000                    20181130MB1B                9I3    
8190           8190ZQ89650           CL218190CL51000000020.000                    20181130MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20181130MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190ZT45170           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190ZT45860           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190ZT45070           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190ZQ87600           CL218190CL51000000020.000                    20181130MB1B                9I3    
8190           8190ZQ87600           CL218190CL51000000020.000                    20181130MB1B                9I3    
8190           8190ZQ87840           CL218190CL51000000020.000                    20181130MB1B                9I3    
8190           8190ZT44270           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190ZT45070           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190ZT44880           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190ZT44880           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190ZT45070           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190ZT45070           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181130MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181130MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181130MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181130MB1B                9I3    
8190           8190ZP67420           SXA08190SX21000000030.000                    20181130MB1B                9I3    
8190           8190ZP67420           SXA08190SX21000000030.000                    20181130MB1B                9I3    
8190           8190ZP67420           SXA08190SX21000000030.000                    20181130MB1B                9I3    
8190           8190ZP67420           SXA08190SX21000000030.000                    20181130MB1B                9I3    
8190           8190ZP63790           SXA08190SX21000000030.000                    20181130MB1B                9I3    
8190           8190ZP63790           SXA08190SX21000000030.000                    20181130MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181130MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181130MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181130MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181130MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181130MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181130MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181130MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181130MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181130MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181130MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181130MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181130MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190WZ9110C           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190ZY84770           SXA08190SX21000000030.000                    20181130MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181130MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181130MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181130MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181130MB1B                9I3    
8190           8190ZP67070           SXA08190SX21000000030.000                    20181130MB1B                9I3    
8190           8190ZP67070           SXA08190SX21000000030.000                    20181130MB1B                9I3    
8190           8190ZP67070           SXA08190SX21000000030.000                    20181130MB1B                9I3    
8190           8190ZU02710           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190ZT44660           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181130MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181130MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181130MB1B                9I3    
8190           8190ZY84770           SXA08190SX21000000030.000                    20181130MB1B                9I3    
8190           8190ZT45720           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190ZT44880           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190ZT44880           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181130MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181130MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181130MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181130MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181130MB1B                9I3    
8190           8190ZT43910           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190ZT45590           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190ZT45920           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190ZT45070           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190ZT44880           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190ZT45380           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190ZT45380           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190ZT45520           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190ZT45520           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190ZT45640           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190ZT45920           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190ZT44180           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190ZT45170           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190ZT45170           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190ZT44270           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190ZT45920           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190ZT44880           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190ZT45170           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190ZT45170           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190ZT45170           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190ZT44880           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190ZT45860           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190ZT44180           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190ZT45170           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190ZT45980           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190ZQ85100           SX218190SX51000000015.000                    20181130MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20181130MB1B                9I3    
8190           8190ZQ84100           SX218190SX51000000015.000                    20181130MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20181130MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190WF9525C           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190WF9525C           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190WF9525C           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20181130MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20181130MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20181130MB1B                9I3    
8190           8190ZQ83740           SX218190SX51000000015.000                    20181130MB1B                9I3    
8190           8190ZQ86250           SX218190SX51000000015.000                    20181130MB1B                9I3    
8190           8190ZQ86250           SX218190SX51000000015.000                    20181130MB1B                9I3    
8190           8190ZQ88890           SX218190SX51000000015.000                    20181130MB1B                9I3    
8190           8190ZQ88890           SX218190SX51000000015.000                    20181130MB1B                9I3    
