8190           8190W60550A           SX518190SX91000000016.000                    20171130MB1B                9I31   
8190           8190ZR23750           CL218190CL51000000020.000                    20171129MB1B                9I3    
8190           8190ZP64070           SXA08190SX21000000030.000                    20171201MB1B                9I3    
8190           8190ZP64070           SXA08190SX21000000030.000                    20171201MB1B                9I3    
8190           8190ZP64070           SXA08190SX21000000030.000                    20171201MB1B                9I3    
8190           8190ZQ95240           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ86520           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ88290           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ85050           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ85910           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZP67230           SXA08190SX21000000030.000                    20171201MB1B                9I3    
8190           8190ZQ95210           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZP63480           SXA08190SX21000000030.000                    20171201MB1B                9I3    
8190           8190ZP63480           SXA08190SX21000000030.000                    20171201MB1B                9I3    
8190           8190ZP64070           SXA08190SX21000000030.000                    20171201MB1B                9I3    
8190           8190ZR23750           CL218190CL51000000020.000                    20171129MB1B                9I3    
8190           8190ZQ87550           CL218190CL51000000020.000                    20171124MB1B                9I3    
8190           8190WF9812E           SX518190SX91000000015.000                    20171128MB1B                9I3    
8190           8190ZQ88320           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ86250           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ85100           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190WQ4674B           SX518190SX91000000005.000                    20171201MB1B                9I3    
8190           8190WQ4674B           SX518190SX91000000005.000                    20171201MB1B                9I3    
8190           8190WQ4674B           SX518190SX91000000005.000                    20171201MB1B                9I3    
8190           8190ZP61490           CLA08190CL21000000020.000                    20171201MB1B                9I3    
8190           8190ZP67230           SXA08190SX21000000030.000                    20171201MB1B                9I3    
8190           8190ZQ88320           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ88320           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190W60550A           SX518190SX91000000016.000                    20171130MB1B                9I31   
8190           8190ZQ99270           SX518190SX91000000008.000                    20171124MB1B                9I3    
