8190           8190ZQ85100           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ88400           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ88400           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ85100           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ85100           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ88890           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ89650           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ89740           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ87660           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ91900           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ89830           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ91900           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ91900           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ90040           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ88090           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ89830           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ88090           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ87890           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ90040           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ88090           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ98040           SX218190SX51000000008.000                    20171111MB1B                9I3    
8190           8190ZQ98040           SX218190SX51000000008.000                    20171111MB1B                9I3    
8190           8190ZQ99790           SX218190SX51000000008.000                    20171111MB1B                9I3    
8190           8190ZQ99790           SX218190SX51000000008.000                    20171111MB1B                9I3    
8190           8190ZR01250           SX218190SX51000000008.000                    20171111MB1B                9I3    
8190           8190ZR01530           SX218190SX51000000008.000                    20171111MB1B                9I3    
8190           8190ZQ96960           SX218190SX51000000008.000                    20171111MB1B                9I3    
8190           8190ZQ99100           SX218190SX51000000008.000                    20171111MB1B                9I3    
8190           8190ZQ95040           SX218190SX51000000008.000                    20171111MB1B                9I3    
8190           8190ZQ99100           SX218190SX51000000008.000                    20171111MB1B                9I3    
8190           8190ZQ98720           SX218190SX51000000008.000                    20171111MB1B                9I3    
8190           8190ZQ98870           SX218190SX51000000008.000                    20171111MB1B                9I3    
8190           8190ZQ99850           SX218190SX51000000008.000                    20171111MB1B                9I3    
8190           8190ZR01040           SX218190SX51000000008.000                    20171111MB1B                9I3    
8190           8190ZQ95770           SX218190SX51000000008.000                    20171111MB1B                9I3    
8190           8190ZQ98930           SX218190SX51000000008.000                    20171111MB1B                9I3    
8190           8190ZQ95400           SX218190SX51000000008.000                    20171111MB1B                9I3    
8190           8190ZQ98930           SX218190SX51000000008.000                    20171111MB1B                9I3    
8190           8190ZQ98930           SX218190SX51000000008.000                    20171111MB1B                9I3    
8190           8190ZQ95600           SX218190SX51000000008.000                    20171111MB1B                9I3    
8190           8190ZQ95480           SX218190SX51000000008.000                    20171111MB1B                9I3    
8190           8190ZQ96090           SX218190SX51000000008.000                    20171111MB1B                9I3    
8190           8190ZQ98270           SX218190SX51000000008.000                    20171111MB1B                9I3    
8190           8190ZQ96620           SX218190SX51000000008.000                    20171111MB1B                9I3    
8190           8190ZQ96960           SX218190SX51000000008.000                    20171111MB1B                9I3    
8190           8190ZQ99190           SX218190SX51000000008.000                    20171111MB1B                9I3    
8190           8190ZQ99010           SX218190SX51000000008.000                    20171111MB1B                9I3    
8190           8190ZR01040           SX218190SX51000000008.000                    20171111MB1B                9I3    
8190           8190ZR01040           SX218190SX51000000008.000                    20171111MB1B                9I3    
8190           8190ZQ95480           SX218190SX51000000008.000                    20171111MB1B                9I3    
8190           8190ZQ95600           SX218190SX51000000008.000                    20171111MB1B                9I3    
8190           8190ZQ96450           SX218190SX51000000008.000                    20171111MB1B                9I3    
8190           8190ZQ96620           SX218190SX51000000008.000                    20171111MB1B                9I3    
8190           8190ZQ99790           SX218190SX51000000008.000                    20171111MB1B                9I3    
8190           8190ZQ98720           SX218190SX51000000008.000                    20171111MB1B                9I3    
8190           8190ZQ96090           SX218190SX51000000008.000                    20171111MB1B                9I3    
8190           8190ZQ89830           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ90040           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ91970           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ91970           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ90160           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ88090           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ90160           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ88090           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ88090           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZR23750           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZY13580           VN218190VN51000000030.000                    20171111MB1B                9I3    
8190           8190ZQ85100           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ85100           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ84860           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ84860           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ91380           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ83740           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ83740           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ86640           SX218190SX51000000015.000                    20171111MB1B                9I3    
