8190           8190ZT43980           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZP62200           CLA08190CL21000000040.000                    20181127MB1B                9I3    
8190           8190ZP61450           CLA08190CL21000000040.000                    20181127MB1B                9I3    
8190           8190ZP64240           SXA08190SX21000000030.000                    20181127MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20181127MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20181127MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20181127MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20181127MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20181127MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20181127MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20181127MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20181127MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20181127MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20181127MB1B                9I3    
8190           8190ZP64810           SXA08190SX21000000016.000                    20181127MB1B                9I3    
8190           8190ZP66460           SXA08190SX21000000016.000                    20181127MB1B                9I3    
8190           8190ZP66880           SXA08190SX21000000030.000                    20181127MB1B                9I3    
8190           8190ZP66880           SXA08190SX21000000030.000                    20181127MB1B                9I3    
8190           8190ZP66880           SXA08190SX21000000030.000                    20181127MB1B                9I3    
8190           8190ZP66880           SXA08190SX21000000030.000                    20181127MB1B                9I3    
8190           8190ZP64850           SXA08190SX21000000016.000                    20181127MB1B                9I3    
8190           8190ZP64850           SXA08190SX21000000016.000                    20181127MB1B                9I3    
8190           8190ZP64870           SXA08190SX21000000016.000                    20181127MB1B                9I3    
8190           8190ZP64870           SXA08190SX21000000016.000                    20181127MB1B                9I3    
8190           8190ZP64810           SXA08190SX21000000016.000                    20181127MB1B                9I3    
8190           8190ZP64690           SXA08190SX21000000016.000                    20181127MB1B                9I3    
8190           8190ZP64690           SXA08190SX21000000016.000                    20181127MB1B                9I3    
8190           8190ZP66620           SXA08190SX21000000016.000                    20181127MB1B                9I3    
8190           8190ZP61440           CLA08190CL21000000040.000                    20181127MB1B                9I3    
8190           8190ZP61440           CLA08190CL21000000040.000                    20181127MB1B                9I3    
8190           8190ZP61490           CLA08190CL21000000020.000                    20181127MB1B                9I3    
8190           8190ZP61490           CLA08190CL21000000020.000                    20181127MB1B                9I3    
8190           8190ZP61490           CLA08190CL21000000020.000                    20181127MB1B                9I3    
8190           8190ZP61490           CLA08190CL21000000020.000                    20181127MB1B                9I3    
8190           8190ZP61490           CLA08190CL21000000020.000                    20181127MB1B                9I3    
8190           8190ZQ13360           FL518190FL91000000050.000                    20181127MB1B                9I3    
8190           8190ZQ13360           FL518190FL91000000050.000                    20181127MB1B                9I3    
8190           8190ZP61440           CLA08190CL21000000040.000                    20181127MB1B                9I3    
8190           8190ZP61500           CLA08190CL21000000040.000                    20181127MB1B                9I3    
8190           8190ZP61500           CLA08190CL21000000040.000                    20181127MB1B                9I3    
8190           8190ZP66620           SXA08190SX21000000016.000                    20181127MB1B                9I3    
8190           8190ZP66620           SXA08190SX21000000016.000                    20181127MB1B                9I3    
8190           8190ZP64830           SXA08190SX21000000016.000                    20181127MB1B                9I3    
8190           8190ZP64830           SXA08190SX21000000016.000                    20181127MB1B                9I3    
8190           8190ZP61400           CLA08190CL21000000040.000                    20181127MB1B                9I3    
8190           8190ZP61430           CLA08190CL21000000020.000                    20181127MB1B                9I3    
8190           8190ZP61410           CLA08190CL21000000040.000                    20181127MB1B                9I3    
8190           8190ZP61410           CLA08190CL21000000040.000                    20181127MB1B                9I3    
8190           8190ZP61400           CLA08190CL21000000040.000                    20181127MB1B                9I3    
8190           8190ZQ13360           FL518190FL91000000050.000                    20181127MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZQ87970           CL518190CL91000000020.000                    20181127MB1B                9I3    
8190           8190ZQ88060           CL518190CL91000000020.000                    20181127MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20181127MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20181127MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20181127MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20181127MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20181127MB1B                9I3    
8190           8190ZA52480           SXA18190SX21000000005.000                    20181127MB1B                9I3    
8190           8190ZA52480           SXA18190SX21000000005.000                    20181127MB1B                9I3    
8190           8190ZQ87570           CL518190CL91000000020.000                    20181127MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20181127MB1B                9I3    
8190           8190ZQ89480           CL518190CL91000000020.000                    20181127MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20181127MB1B                9I3    
8190           8190ZQ91680           CL518190CL91000000020.000                    20181127MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20181127MB1B                9I3    
8190           8190ZQ91680           CL518190CL91000000020.000                    20181127MB1B                9I3    
8190           8190ZQ91920           CL518190CL91000000020.000                    20181127MB1B                9I3    
8190           8190ZQ91920           CL518190CL91000000020.000                    20181127MB1B                9I3    
8190           8190ZQ93510           CL518190CL91000000020.000                    20181127MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20181127MB1B                9I3    
8190           8190ZQ89480           CL518190CL91000000020.000                    20181127MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20181127MB1B                9I3    
8190           8190ZA52480           SXA18190SX21000000005.000                    20181127MB1B                9I3    
8190           8190ZQ87570           CL518190CL91000000020.000                    20181127MB1B                9I3    
8190           8190ZA52480           SXA18190SX21000000005.000                    20181127MB1B                9I3    
8190           8190ZA52480           SXA18190SX21000000005.000                    20181127MB1B                9I3    
8190           8190ZA52480           SXA18190SX21000000005.000                    20181127MB1B                9I3    
8190           8190ZQ93480           CL518190CL91000000020.000                    20181127MB1B                9I3    
8190           8190ZA52480           SXA18190SX21000000005.000                    20181127MB1B                9I3    
8190           8190ZA52480           SXA18190SX21000000005.000                    20181127MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20181127MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20181127MB1B                9I3    
8190           8190ZA52480           SXA18190SX21000000005.000                    20181127MB1B                9I3    
8190           8190ZQ85100           SX218190SX51000000015.000                    20181127MB1B                9I3    
8190           8190ZQ93480           CL518190CL91000000020.000                    20181127MB1B                9I3    
8190           8190ZA52480           SXA18190SX21000000005.000                    20181127MB1B                9I3    
8190           8190ZQ93510           CL518190CL91000000020.000                    20181127MB1B                9I3    
8190           8190ZQ87570           CL518190CL91000000020.000                    20181127MB1B                9I3    
8190           8190ZQ87570           CL518190CL91000000020.000                    20181127MB1B                9I3    
8190           8190ZA52480           SXA18190SX21000000005.000                    20181127MB1B                9I3    
8190           8190ZQ93510           CL518190CL91000000020.000                    20181127MB1B                9I3    
8190           8190ZA52480           SXA18190SX21000000005.000                    20181127MB1B                9I3    
8190           8190ZQ87630           CL518190CL91000000020.000                    20181127MB1B                9I3    
8190           8190ZA52480           SXA18190SX21000000005.000                    20181127MB1B                9I3    
8190           8190ZQ93510           CL518190CL91000000020.000                    20181127MB1B                9I3    
8190           8190ZA52480           SXA18190SX21000000005.000                    20181127MB1B                9I3    
8190           8190ZQ85100           SX218190SX51000000015.000                    20181127MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20181127MB1B                9I3    
8190           8190ZQ90360           CL518190CL91000000020.000                    20181127MB1B                9I3    
8190           8190ZQ90360           CL518190CL91000000020.000                    20181127MB1B                9I3    
8190           8190ZQ90360           CL518190CL91000000020.000                    20181127MB1B                9I3    
8190           8190ZQ93350           CL518190CL91000000020.000                    20181127MB1B                9I3    
8190           8190ZQ93350           CL518190CL91000000020.000                    20181127MB1B                9I3    
8190           8190ZQ93030           CL518190CL91000000020.000                    20181127MB1B                9I3    
8190           8190ZQ93030           CL518190CL91000000020.000                    20181127MB1B                9I3    
8190           8190ZQ90110           CL518190CL91000000020.000                    20181127MB1B                9I3    
8190           8190ZQ93480           CL518190CL91000000020.000                    20181127MB1B                9I3    
8190           8190ZQ90360           CL518190CL91000000020.000                    20181127MB1B                9I3    
8190           8190ZQ87570           CL518190CL91000000020.000                    20181127MB1B                9I3    
8190           8190ZQ88060           CL518190CL91000000020.000                    20181127MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20181127MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20181127MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20181127MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20181127MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20181127MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20181127MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20181127MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20181127MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20181127MB1B                9I3    
8190           8190ZQ87810           CL518190CL91000000020.000                    20181127MB1B                9I3    
8190           8190ZQ87970           CL518190CL91000000020.000                    20181127MB1B                9I3    
8190           8190ZQ90110           CL518190CL91000000020.000                    20181127MB1B                9I3    
8190           8190ZQ87810           CL518190CL91000000020.000                    20181127MB1B                9I3    
8190           8190ZQ87860           CL518190CL91000000020.000                    20181127MB1B                9I3    
8190           8190ZQ87970           CL518190CL91000000020.000                    20181127MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20181127MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20181127MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20181127MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20181127MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20181127MB1B                9I3    
8190           8190ZQ87810           CL518190CL91000000020.000                    20181127MB1B                9I3    
8190           8190ZQ87730           CL518190CL91000000020.000                    20181127MB1B                9I3    
8190           8190ZQ87860           CL518190CL91000000020.000                    20181127MB1B                9I3    
8190           8190ZQ90000           CL518190CL91000000020.000                    20181127MB1B                9I3    
8190           8190ZQ87810           CL518190CL91000000020.000                    20181127MB1B                9I3    
8190           8190ZQ87630           CL518190CL91000000020.000                    20181127MB1B                9I3    
8190           8190ZQ90110           CL518190CL91000000020.000                    20181127MB1B                9I3    
8190           8190ZQ91920           CL518190CL91000000020.000                    20181127MB1B                9I3    
8190           8190ZQ87630           CL518190CL91000000020.000                    20181127MB1B                9I3    
8190           8190ZU28450           CL518190CL91000000020.000                    20181127MB1B                9I3    
8190           8190ZQ90000           CL518190CL91000000020.000                    20181127MB1B                9I3    
8190           8190ZQ91920           CL518190CL91000000020.000                    20181127MB1B                9I3    
8190           8190ZQ87730           CL518190CL91000000020.000                    20181127MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20181127MB1B                9I3    
8190           8190ZA52480           SXA18190SX21000000005.000                    20181127MB1B                9I3    
8190           8190ZU02230           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20181127MB1B                9I3    
