8190           8190ZQ94470           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZP63940           SXA08190SX21000000030.000                    20180523MB1B                9I3    
8190           8190ZP63940           SXA08190SX21000000030.000                    20180523MB1B                9I3    
8190           8190ZP63360           SXA08190SX21000000030.000                    20180523MB1B                9I3    
8190           8190WZ70060           SX218190SX91000000005.000                    20180523MB1B                9I3    
8190           8190WZ70060           SX218190SX91000000005.000                    20180523MB1B                9I3    
8190           8190ZP63940           SXA08190SX21000000030.000                    20180523MB1B                9I3    
8190           8190ZP63940           SXA08190SX21000000030.000                    20180523MB1B                9I3    
8190           8190ZP63940           SXA08190SX21000000030.000                    20180523MB1B                9I3    
8190           8190ZP63940           SXA08190SX21000000030.000                    20180523MB1B                9I3    
8190           8190ZP63940           SXA08190SX21000000030.000                    20180523MB1B                9I3    
8190           8190ZF2087A           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190WZ70070           SX218190SX91000000005.000                    20180523MB1B                9I3    
8190           8190ZQ95350           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ95350           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ94930           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ94930           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ95390           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ95390           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ95390           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ95390           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ95350           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ95350           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZP67930           CLA08190CLB9000000040.000                    20180523MB1B                9I3    
8190           8190ZQ95350           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZP67930           CLA08190CLB9000000040.000                    20180523MB1B                9I3    
8190           8190ZQ95350           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZP67930           CLA08190CLB9000000040.000                    20180523MB1B                9I3    
8190           8190ZQ95350           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZP67930           CLA08190CLB9000000040.000                    20180523MB1B                9I3    
8190           8190ZP67930           CLA08190CLB9000000040.000                    20180523MB1B                9I3    
8190           8190WZ70070           SX218190SX91000000005.000                    20180523MB1B                9I3    
8190           8190ZQ95390           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZU02230           FL518190FL91000000005.000                    20180523MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20180523MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20180523MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20180523MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20180523MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20180523MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20180523MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20180523MB1B                9I3    
8190           8190ZU11650           FL518190FL91000000005.000                    20180523MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20180523MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20180523MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20180523MB1B                9I3    
8190           8190ZU02230           FL518190FL91000000005.000                    20180523MB1B                9I3    
8190           8190ZU02230           FL518190FL91000000005.000                    20180523MB1B                9I3    
8190           8190ZU02230           FL518190FL91000000005.000                    20180523MB1B                9I3    
8190           8190WZ91100           SX518190SX91000000001.000                    20180523MB1B                9I3    
8190           8190WZ91100           SX518190SX91000000001.000                    20180523MB1B                9I3    
8190           8190WZ91100           SX518190SX91000000001.000                    20180523MB1B                9I3    
8190           8190WZ91100           SX518190SX91000000001.000                    20180523MB1B                9I3    
8190           8190WZ91100           SX518190SX91000000001.000                    20180523MB1B                9I3    
8190           8190ZU11650           FL518190FL91000000005.000                    20180523MB1B                9I3    
8190           8190ZU11650           FL518190FL91000000005.000                    20180523MB1B                9I3    
8190           8190WZ70060           SX218190SX91000000005.000                    20180523MB1B                9I3    
8190           8190ZP63360           SXA08190SX21000000030.000                    20180523MB1B                9I3    
8190           8190ZP63360           SXA08190SX21000000030.000                    20180523MB1B                9I3    
8190           8190WZ70060           SX218190SX91000000005.000                    20180523MB1B                9I3    
8190           8190ZP63360           SXA08190SX21000000030.000                    20180523MB1B                9I3    
8190           8190WZ70060           SX218190SX91000000005.000                    20180523MB1B                9I3    
8190           8190ZP63360           SXA08190SX21000000030.000                    20180523MB1B                9I3    
8190           8190ZP63360           SXA08190SX21000000030.000                    20180523MB1B                9I3    
8190           8190WZ70060           SX218190SX91000000005.000                    20180523MB1B                9I3    
8190           8190ZP63360           SXA08190SX21000000030.000                    20180523MB1B                9I3    
8190           8190ZP63360           SXA08190SX21000000030.000                    20180523MB1B                9I3    
8190           8190ZU11650           FL518190FL91000000005.000                    20180523MB1B                9I3    
8190           8190ZU11650           FL518190FL91000000005.000                    20180523MB1B                9I3    
8190           8190ZU02340           FL518190FL91000000005.000                    20180523MB1B                9I3    
8190           8190ZP63580           FLA08190FL21000000040.000                    20180523MB1B                9I3    
8190           8190ZP63580           FLA08190FL21000000040.000                    20180523MB1B                9I3    
8190           8190ZP63580           FLA08190FL21000000040.000                    20180523MB1B                9I3    
8190           8190ZP63580           FLA08190FL21000000040.000                    20180523MB1B                9I3    
8190           8190WZ70060           SX218190SX91000000005.000                    20180523MB1B                9I3    
8190           8190ZP63360           SXA08190SX21000000030.000                    20180523MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20180523MB1B                9I3    
8190           8190ZT45800           FL218190FL51000000020.000                    20180523MB1B                9I3    
8190           8190ZQ98270           SX218190SX51000000008.000                    20180523MB1B                9I3    
8190           8190ZQ98270           SX218190SX51000000008.000                    20180523MB1B                9I3    
8190           8190ZQ95040           SX218190SX51000000008.000                    20180523MB1B                9I3    
8190           8190ZQ95040           SX218190SX51000000008.000                    20180523MB1B                9I3    
8190           8190ZQ95040           SX218190SX51000000008.000                    20180523MB1B                9I3    
8190           8190ZQ96620           SX218190SX51000000008.000                    20180523MB1B                9I3    
8190           8190ZQ96620           SX218190SX51000000008.000                    20180523MB1B                9I3    
8190           8190ZQ96620           SX218190SX51000000008.000                    20180523MB1B                9I3    
8190           8190ZQ98270           SX218190SX51000000008.000                    20180523MB1B                9I3    
8190           8190ZQ95910           SX218190SX51000000008.000                    20180523MB1B                9I3    
8190           8190ZQ95910           SX218190SX51000000008.000                    20180523MB1B                9I3    
8190           8190ZT45640           FL218190FL51000000020.000                    20180523MB1B                9I3    
8190           8190ZT45640           FL218190FL51000000020.000                    20180523MB1B                9I3    
8190           8190ZT44880           FL218190FL51000000020.000                    20180523MB1B                9I3    
8190           8190WY84980           SXA18190SX21000000005.000                    20180523MB1B                9I3    
8190           8190WY84980           SXA18190SX21000000005.000                    20180523MB1B                9I3    
8190           8190WY84980           SXA18190SX21000000005.000                    20180523MB1B                9I3    
8190           8190WY84980           SXA18190SX21000000005.000                    20180523MB1B                9I3    
8190           8190ZQ98440           SX218190SX51000000008.000                    20180523MB1B                9I3    
