8190           8190ZF36880           SXA28190SX21000000020.000                    20180606MB1B                9I3    
8190           8190ZF36880           SXA28190SX21000000020.000                    20180606MB1B                9I3    
8190           8190ZF37070           SXA28190SX21000000020.000                    20180606MB1B                9I3    
8190           8190ZF37070           SXA28190SX21000000020.000                    20180606MB1B                9I3    
8190           8190ZF37160           SXA28190SX21000000020.000                    20180606MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20180606MB1B                9I3    
8190           8190ZQ95910           SX218190SX51000000008.000                    20180606MB1B                9I3    
8190           8190ZQ95040           SX218190SX51000000008.000                    20180606MB1B                9I3    
8190           8190ZQ98720           SX218190SX51000000008.000                    20180606MB1B                9I3    
8190           8190ZP61650           CLA08190CL21000000040.000                    20180606MB1B                9I3    
8190           8190ZQ95040           SX218190SX51000000008.000                    20180606MB1B                9I3    
8190           8190ZQ94750           SX218190SX51000000008.000                    20180606MB1B                9I3    
8190           8190ZQ96620           SX218190SX51000000008.000                    20180606MB1B                9I3    
8190           8190ZQ98870           SX218190SX51000000008.000                    20180606MB1B                9I3    
8190           8190ZR01650           SX218190SX51000000008.000                    20180606MB1B                9I3    
8190           8190ZQ98440           SX218190SX51000000008.000                    20180606MB1B                9I3    
8190           8190ZQ98440           SX218190SX51000000008.000                    20180606MB1B                9I3    
8190           8190ZQ98440           SX218190SX51000000008.000                    20180606MB1B                9I3    
8190           8190ZQ95270           SX218190SX51000000008.000                    20180606MB1B                9I3    
8190           8190ZQ96240           SX218190SX51000000008.000                    20180606MB1B                9I3    
8190           8190ZP61650           CLA08190CL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20180606MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20180606MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20180606MB1B                9I3    
8190           8190ZQ96090           SX218190SX51000000008.000                    20180606MB1B                9I3    
8190           8190ZQ98670           SX218190SX51000000008.000                    20180606MB1B                9I3    
8190           8190ZQ98800           SX218190SX51000000008.000                    20180606MB1B                9I3    
8190           8190ZQ95910           SX218190SX51000000008.000                    20180606MB1B                9I3    
8190           8190ZQ95770           SX218190SX51000000008.000                    20180606MB1B                9I3    
8190           8190ZQ98040           SX218190SX51000000008.000                    20180606MB1B                9I3    
8190           8190ZQ98930           SX218190SX51000000008.000                    20180606MB1B                9I3    
8190           8190ZQ99850           SX218190SX51000000008.000                    20180606MB1B                9I3    
8190           8190ZQ97030           SX218190SX51000000008.000                    20180606MB1B                9I3    
8190           8190ZT43210           SX218190SX51000000008.000                    20180606MB1B                9I3    
8190           8190ZR01170           SX218190SX51000000008.000                    20180606MB1B                9I3    
8190           8190ZQ99010           SX218190SX51000000008.000                    20180606MB1B                9I3    
8190           8190ZR01340           SX218190SX51000000008.000                    20180606MB1B                9I3    
8190           8190ZQ98110           SX218190SX51000000008.000                    20180606MB1B                9I3    
8190           8190ZQ98550           SX218190SX51000000008.000                    20180606MB1B                9I3    
8190           8190ZQ98550           SX218190SX51000000008.000                    20180606MB1B                9I3    
8190           8190ZR01250           SX218190SX51000000008.000                    20180606MB1B                9I3    
8190           8190ZQ96340           SX218190SX51000000008.000                    20180606MB1B                9I3    
8190           8190ZQ99190           SX218190SX51000000008.000                    20180606MB1B                9I3    
8190           8190ZQ98930           SX218190SX51000000008.000                    20180606MB1B                9I3    
8190           8190ZQ98930           SX218190SX51000000008.000                    20180606MB1B                9I3    
8190           8190ZQ96960           SX218190SX51000000008.000                    20180606MB1B                9I3    
8190           8190ZR01530           SX218190SX51000000008.000                    20180606MB1B                9I3    
8190           8190ZQ96960           SX218190SX51000000008.000                    20180606MB1B                9I3    
8190           8190ZQ99190           SX218190SX51000000008.000                    20180606MB1B                9I3    
8190           8190ZQ95480           SX218190SX51000000008.000                    20180606MB1B                9I3    
8190           8190ZQ95600           SX218190SX51000000008.000                    20180606MB1B                9I3    
8190           8190ZQ99010           SX218190SX51000000008.000                    20180606MB1B                9I3    
8190           8190ZQ95770           SX218190SX51000000008.000                    20180606MB1B                9I3    
8190           8190ZQ98200           SX218190SX51000000008.000                    20180606MB1B                9I3    
8190           8190ZQ96450           SX218190SX51000000008.000                    20180606MB1B                9I3    
8190           8190ZQ98200           SX218190SX51000000008.000                    20180606MB1B                9I3    
8190           8190ZQ96450           SX218190SX51000000008.000                    20180606MB1B                9I3    
8190           8190ZQ96240           SX218190SX51000000008.000                    20180606MB1B                9I3    
8190           8190ZQ98040           SX218190SX51000000008.000                    20180606MB1B                9I3    
8190           8190ZQ99190           SX218190SX51000000008.000                    20180606MB1B                9I3    
