8190           8190ZT43800           FL218190FL51000000005.000                    20180707MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180707MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180707MB1B                9I3    
8190           8190ZU02430           FL218190FL51000000005.000                    20180707MB1B                9I3    
8190           8190ZU02430           FL218190FL51000000005.000                    20180707MB1B                9I3    
8190           8190ZE22560           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22510           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22510           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22480           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22480           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22480           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22480           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22480           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22490           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22490           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22550           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22550           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22550           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22500           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22500           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22500           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22490           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22490           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22490           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180707MB1B                9I3    
8190           8190ZQ88890           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ86540           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ84650           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ84860           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ84860           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ88890           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ88320           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ84650           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180707MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180707MB1B                9I3    
8190           8190ZU11680           FL218190FL51000000005.000                    20180707MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ85100           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ86250           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ84650           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ84650           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ86540           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ86540           SX218190SX51000000015.000                    20180707MB1B                9I3    
