8190           8190ZC58580           SXA18190SX21000000005.000                    20171115MB1B                9I3    
8190           8190ZC58580           SXA18190SX21000000005.000                    20171115MB1B                9I3    
8190           8190ZC34590           SXA18190SX21000000005.000                    20171115MB1B                9I3    
8190           8190ZC34590           SXA18190SX21000000005.000                    20171115MB1B                9I3    
8190           8190ZC34590           SXA18190SX21000000005.000                    20171115MB1B                9I3    
8190           8190ZC34590           SXA18190SX21000000005.000                    20171115MB1B                9I3    
8190           8190ZQ87760           CL218190CL51000000020.000                    20171115MB1B                9I3    
8190           8190ZT44730           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZT44270           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZT44730           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZU02860           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZQ88520           SX218190SX51000000015.000                    20171115MB1B                9I3    
8190           8190ZZ32860           SX218190SX51000000010.000                    20171115MB1B                9I3    
8190           8190ZQ91380           SX218190SX51000000015.000                    20171115MB1B                9I3    
8190           8190ZQ91380           SX218190SX51000000015.000                    20171115MB1B                9I3    
8190           8190ZS06260           SX218190SX51000000015.000                    20171115MB1B                9I3    
8190           8190ZQ88890           SX218190SX51000000015.000                    20171115MB1B                9I3    
8190           8190ZY85180           SX218190SX51000000010.000                    20171115MB1B                9I3    
8190           8190ZT45070           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZT45070           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZT45170           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZT45170           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZT44730           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZT44730           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190WF9525C           SX218190SX51000000001.000                    20171115MB1B                9I3    
8190           8190WF9525C           SX218190SX51000000001.000                    20171115MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171115MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171115MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171115MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171115MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171115MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171115MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171115MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171115MB1B                9I3    
8190           8190ZQ98350           SX218190SX51000000008.000                    20171115MB1B                9I3    
8190           8190ZQ98350           SX218190SX51000000008.000                    20171115MB1B                9I3    
8190           8190ZT45070           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZT45710           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZT44660           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZT44660           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZT44270           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZT44270           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZQ89830           CL218190CL51000000020.000                    20171115MB1B                9I3    
8190           8190ZT45070           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZT44880           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171115MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171115MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171115MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171115MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171115MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171115MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171115MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171115MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171115MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171115MB1B                9I3    
8190           8190WY84940           SXA18190SX21000000005.000                    20171115MB1B                9I3    
8190           8190WY84940           SXA18190SX21000000005.000                    20171115MB1B                9I3    
8190           8190WY84940           SXA18190SX21000000005.000                    20171115MB1B                9I3    
8190           8190WY84940           SXA18190SX21000000005.000                    20171115MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20171115MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20171115MB1B                9I3    
8190           8190ZQ96340           SX218190SX51000000008.000                    20171115MB1B                9I3    
8190           8190ZT44880           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZU06380           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZK13370           SXA18190SX21000000001.000                    20171115MB1B                9I3    
8190           8190ZK13370           SXA18190SX21000000001.000                    20171115MB1B                9I3    
8190           8190WZ91400           SXA18190SX21000000005.000                    20171115MB1B                9I3    
8190           8190WZ91400           SXA18190SX21000000005.000                    20171115MB1B                9I3    
8190           8190WZ91400           SXA18190SX21000000005.000                    20171115MB1B                9I3    
8190           8190WY91390           SXA18190SX21000000005.000                    20171115MB1B                9I3    
