8190           8190ZE22470           FLA28190FL21000000030.000                    20180827MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180827MB1B                9I3    
8190           8190ZP61890           CLA08190CL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP61890           CLA08190CL21000000040.000                    20180827MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180827MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180827MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180827MB1B                9I3    
8190           8190ZP64140           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP64140           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180827MB1B                9I3    
8190           8190ZP64140           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180827MB1B                9I3    
8190           8190ZP64510           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180827MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180827MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180827MB1B                9I3    
8190           8190WZ91840           SX518190SX91000000001.000                    20180827MB1B                9I3    
8190           8190WZ91840           SX518190SX91000000001.000                    20180827MB1B                9I3    
8190           8190ZT45920           FL218190FL51000000020.000                    20180827MB1B                9I3    
8190           8190ZU02600           FL218190FL51000000020.000                    20180827MB1B                9I3    
8190           8190WZ91840           SX518190SX91000000001.000                    20180827MB1B                9I3    
8190           8190WZ91840           SX518190SX91000000001.000                    20180827MB1B                9I3    
8190           8190WZ9184C           SX218190SX51000000001.000                    20180827MB1B                9I3    
8190           8190WZ9184C           SX218190SX51000000001.000                    20180827MB1B                9I3    
8190           8190WZ9184C           SX218190SX51000000001.000                    20180827MB1B                9I3    
8190           8190ZU02600           FL218190FL51000000020.000                    20180827MB1B                9I3    
8190           8190ZQ89530           CL218190CL51000000020.000                    20180827MB1B                9I3    
8190           8190WZ91840           SX518190SX91000000001.000                    20180827MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180827MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20180827MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20180827MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20180827MB1B                9I3    
8190           8190WZ91840           SX518190SX91000000001.000                    20180827MB1B                9I3    
8190           8190WZ91840           SX518190SX91000000001.000                    20180827MB1B                9I3    
8190           8190WZ91840           SX518190SX91000000001.000                    20180827MB1B                9I3    
8190           8190WZ91840           SX518190SX91000000001.000                    20180827MB1B                9I3    
8190           8190WZ91840           SX518190SX91000000001.000                    20180827MB1B                9I3    
8190           8190WZ91840           SX518190SX91000000001.000                    20180827MB1B                9I3    
8190           8190WZ91840           SX518190SX91000000001.000                    20180827MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180827MB1B                9I3    
8190           8190ZE22560           FLA28190FL21000000030.000                    20180827MB1B                9I3    
8190           8190ZP63780           FLA08190FL21000000040.000                    20180827MB1B                9I3    
