8190           8190ZT43850           FL218190FA1R000000030.000                    20180606MB1B                9I4    Deficit of SL Unrestricted-use 6 PC : ZT43850 8190 FA1R
8190           8190ZG25230           CL518190CLB9000000180.000                    20180608MB1B                9I3    Deficit of SL Unrestricted-use 180 PC : ZG25230 8190 CL51
8190           8190ZF65890           SX518190SX91000000001.000                    20180607MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZF65890 8190 SX51
8190           8190ZJ19280           SX218190SX51000000001.000                    20180608MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZJ19280 8190 SX21
8190           8190WF9812B           SX518190SX91000000015.000                    20180608MB1B                9I3    Deficit of SL Unrestricted-use 12 PC : WF9812B 8190 SX51
8190           8190WF9812B           SX518190SX91000000015.000                    20180608MB1B                9I3    Deficit of SL Unrestricted-use 12 PC : WF9812B 8190 SX51
8190           8190ZR01630           SX518190SX91000000008.000                    20180608MB1B                9I3    Deficit of SL Unrestricted-use 7 PC : ZR01630 8190 SX51
8190           8190ZR01630           SX518190SX91000000008.000                    20180608MB1B                9I3    Deficit of SL Unrestricted-use 7 PC : ZR01630 8190 SX51
8190           8190WZ70070           SX218190SX91000000005.000                    20180608MB1B                9I3    Deficit of SL Unrestricted-use 4 PC : WZ70070 8190 SX21
8190           8190WZ70070           SX218190SX91000000005.000                    20180608MB1B                9I3    Deficit of SL Unrestricted-use 4 PC : WZ70070 8190 SX21
8190           8190ZG25230           CL518190CLB9000000180.000                    20180608MB1B                9I3    Deficit of SL Unrestricted-use 180 PC : ZG25230 8190 CL51
8190           8190ZT43850           FL218190FL51000000005.000                    20180608MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZT43850 8190 FL21
8190           8190ZT43850           FL218190FL51000000005.000                    20180608MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZT43850 8190 FL21
8190           8190ZT43850           FL218190FL51000000005.000                    20180608MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZT43850 8190 FL21
8190           8190ZT43850           FL218190FL51000000005.000                    20180608MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZT43850 8190 FL21
8190           8190ZT43850           FL218190FL51000000005.000                    20180608MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZT43850 8190 FL21
8190           8190ZT43850           FL218190FL51000000005.000                    20180608MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZT43850 8190 FL21
