8190           8190ZP62670           FLA08190FL21000000100.000                    20190226MB1B                9I3    
8190           8190ZP62670           FLA08190FL21000000100.000                    20190226MB1B                9I3    
8190           8190ZP62670           FLA08190FL21000000100.000                    20190226MB1B                9I3    
8190           8190ZP62670           FLA08190FL21000000100.000                    20190226MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63650           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63230           SXA08190SX21000000030.000                    20190226MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20190226MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20190226MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20190226MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20190226MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20190226MB1B                9I3    
8190           8190ZP63860           SXA08190SX21000000030.000                    20190226MB1B                9I3    
8190           8190ZP63860           SXA08190SX21000000030.000                    20190226MB1B                9I3    
8190           8190ZP65040           SXA08190SX21000000016.000                    20190226MB1B                9I3    
8190           8190ZP65040           SXA08190SX21000000016.000                    20190226MB1B                9I3    
8190           8190ZP67270           SXA08190SX21000000016.000                    20190226MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20190226MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20190226MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20190226MB1B                9I3    
8190           8190ZP63090           SXA08190SX21000000030.000                    20190226MB1B                9I3    
8190           8190ZP63090           SXA08190SX21000000030.000                    20190226MB1B                9I3    
8190           8190ZP62890           SXA08190SX21000000030.000                    20190226MB1B                9I3    
8190           8190ZP62890           SXA08190SX21000000030.000                    20190226MB1B                9I3    
8190           8190ZP63990           SXA08190SX21000000030.000                    20190226MB1B                9I3    
8190           8190ZP63660           SXA08190SX21000000030.000                    20190226MB1B                9I3    
8190           8190ZP63660           SXA08190SX21000000030.000                    20190226MB1B                9I3    
8190           8190ZP64210           SXA08190SX21000000030.000                    20190226MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20190226MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20190226MB1B                9I3    
8190           8190ZP67270           SXA08190SX21000000016.000                    20190226MB1B                9I3    
8190           8190ZP63870           SXA08190SX21000000030.000                    20190226MB1B                9I3    
8190           8190ZP68020           SXA08190SX21000000016.000                    20190226MB1B                9I3    
8190           8190ZP64410           SXA08190SX21000000016.000                    20190226MB1B                9I3    
8190           8190ZP64370           SXA08190SX21000000016.000                    20190226MB1B                9I3    
8190           8190ZP64370           SXA08190SX21000000016.000                    20190226MB1B                9I3    
8190           8190ZP64300           SXA08190SX21000000016.000                    20190226MB1B                9I3    
8190           8190ZP63710           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZQ11650           SXA08190SX51000000030.000                    20190226MB1B                9I3    
8190           8190ZQ11650           SXA08190SX51000000030.000                    20190226MB1B                9I3    
8190           8190ZQ11650           SXA08190SX51000000030.000                    20190226MB1B                9I3    
8190           8190ZQ11650           SXA08190SX51000000030.000                    20190226MB1B                9I3    
8190           8190ZR23210           SXA08190SX21000000030.000                    20190226MB1B                9I3    
8190           8190ZP64410           SXA08190SX21000000016.000                    20190226MB1B                9I3    
8190           8190ZP64420           SXA08190SX21000000016.000                    20190226MB1B                9I3    
8190           8190ZP64450           SXA08190SX21000000016.000                    20190226MB1B                9I3    
8190           8190ZP68020           SXA08190SX21000000016.000                    20190226MB1B                9I3    
8190           8190ZP67170           SXA08190SX21000000016.000                    20190226MB1B                9I3    
8190           8190ZP67170           SXA08190SX21000000016.000                    20190226MB1B                9I3    
8190           8190ZP67170           SXA08190SX21000000016.000                    20190226MB1B                9I3    
8190           8190ZP66860           SXA08190SX21000000016.000                    20190226MB1B                9I3    
8190           8190ZP66860           SXA08190SX21000000016.000                    20190226MB1B                9I3    
8190           8190ZP65230           SXA08190SX21000000016.000                    20190226MB1B                9I3    
8190           8190ZP65190           SXA08190SX21000000016.000                    20190226MB1B                9I3    
8190           8190ZP65100           SXA08190SX21000000016.000                    20190226MB1B                9I3    
8190           8190ZP65100           SXA08190SX21000000016.000                    20190226MB1B                9I3    
8190           8190ZP63650           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP61990           CLA08190CL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP61390           CLA08190CL21000000040.000                    20190226MB1B                9I3    
8190           8190ZQ88400           SX218190SX51000000015.000                    20190226MB1B                9I3    
8190           8190ZQ88320           SX218190SX51000000015.000                    20190226MB1B                9I3    
8190           8190ZP61600           CLA08190CL21000000040.000                    20190226MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20190226MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20190226MB1B                9I3    
8190           8190ZP64800           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP64800           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZQ89050           SX218190SX51000000015.000                    20190226MB1B                9I3    
8190           8190ZP64800           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63640           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP61760           CLA08190CL21000000040.000                    20190226MB1B                9I3    
