8190           8190ZQ89380           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ89380           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZC7633D           SX218190SX51000000001.000                    20171117MB1B                9I3    
8190           8190ZC7633D           SX218190SX51000000001.000                    20171117MB1B                9I3    
8190           8190ZQ85910           SX518190SX91000000015.000                    20171117MB1B                9I3    
8190           8190WK0455A           SX518190SX91000000008.000                    20171115MB1B                9I3    
8190           8190ZV28510           SX518190SX91000000015.000                    20171117MB1B                9I3    
8190           8190ZV28510           SX518190SX91000000015.000                    20171117MB1B                9I3    
8190           8190ZQ91990           CL518190CL91000000020.000                    20171117MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20171117MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20171117MB1B                9I3    
8190           8190ZT44270           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZU02910           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20171117MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20171117MB1B                9I3    
8190           8190ZT44730           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ91970           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ89740           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ90390           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ92030           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ87600           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZU02650           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT45450           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT45450           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT91470           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT91470           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT44880           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT45920           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ89650           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ91900           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ87840           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ87840           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ87840           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ87890           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ88090           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ89830           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ89530           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ89530           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ90160           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ90160           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ89940           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ91900           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ83740           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ90570           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ91320           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ91380           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ86110           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ86110           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ84350           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ84350           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ91380           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ84860           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ85100           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ86640           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ86540           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ86540           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ86250           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ86250           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ84860           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ84860           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ84860           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ84350           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ86110           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ88320           SX218190SX51000000015.000                    20171117MB1B                9I3    
