8190           8190ZP62030           CLA08190CL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP62020           CLA08190CL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP62010           CLA08190CL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP61940           CLA08190CL21000000100.000                    20180710MB1B                9I3    
8190           8190ZP64030           SXA08190SX21000000030.000                    20180710MB1B                9I3    
8190           8190ZP67030           SXA08190SX21000000030.000                    20180710MB1B                9I3    
8190           8190ZP67030           SXA08190SX21000000030.000                    20180710MB1B                9I3    
8190           8190ZP67070           SXA08190SX21000000030.000                    20180710MB1B                9I3    
8190           8190ZP63180           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP67390           SXA08190SX21000000030.000                    20180710MB1B                9I3    
8190           8190ZP63450           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63420           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63420           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63430           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63430           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63470           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP67420           SXA08190SX21000000030.000                    20180710MB1B                9I3    
8190           8190ZP63470           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP66970           SXA08190SX21000000030.000                    20180710MB1B                9I3    
8190           8190ZP66970           SXA08190SX21000000030.000                    20180710MB1B                9I3    
8190           8190ZP64040           SXA08190SX21000000030.000                    20180710MB1B                9I3    
8190           8190ZP62990           FLA08190FL21000000500.000                    20180710MB1B                9I3    
8190           8190ZP64100           SXA08190SX21000000030.000                    20180710MB1B                9I3    
8190           8190ZP66830           SXA08190SX21000000030.000                    20180710MB1B                9I3    
8190           8190ZP66830           SXA08190SX21000000030.000                    20180710MB1B                9I3    
8190           8190ZP63030           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63030           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP66910           SXA08190SX21000000030.000                    20180710MB1B                9I3    
8190           8190ZP66910           SXA08190SX21000000030.000                    20180710MB1B                9I3    
8190           8190ZP66910           SXA08190SX21000000030.000                    20180710MB1B                9I3    
8190           8190ZP66910           SXA08190SX21000000030.000                    20180710MB1B                9I3    
8190           8190ZP66930           SXA08190SX21000000030.000                    20180710MB1B                9I3    
8190           8190ZP66930           SXA08190SX21000000030.000                    20180710MB1B                9I3    
8190           8190ZP63490           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20180710MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20180710MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20180710MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20180710MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20180710MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20180710MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20180710MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20180710MB1B                9I3    
