8190           8190ZE20750           FLA18190FL21000000010.000                    20181117MB1B                9I3    
8190           8190ZP67230           SXA08190SX21000000030.000                    20181117MB1B                9I3    
8190           8190ZW92220           CLA08190CL21000000040.000                    20181117MB1B                9I3    
8190           8190ZW92220           CLA08190CL21000000040.000                    20181117MB1B                9I3    
8190           8190ZP61490           CLA08190CL21000000020.000                    20181117MB1B                9I3    
8190           8190ZP61490           CLA08190CL21000000020.000                    20181117MB1B                9I3    
8190           8190ZP62530           CLA08190CL21000000020.000                    20181117MB1B                9I3    
8190           8190ZE20540           FLA18190FL21000000010.000                    20181117MB1B                9I3    
8190           8190ZE20540           FLA18190FL21000000010.000                    20181117MB1B                9I3    
8190           8190ZE20540           FLA18190FL21000000010.000                    20181117MB1B                9I3    
8190           8190ZE20540           FLA18190FL21000000010.000                    20181117MB1B                9I3    
8190           8190ZE20540           FLA18190FL21000000010.000                    20181117MB1B                9I3    
8190           8190ZE20540           FLA18190FL21000000010.000                    20181117MB1B                9I3    
8190           8190ZE20540           FLA18190FL21000000010.000                    20181117MB1B                9I3    
8190           8190ZE20540           FLA18190FL21000000010.000                    20181117MB1B                9I3    
8190           8190ZP64770           FLA08190FL21000000040.000                    20181117MB1B                9I3    
8190           8190ZP63820           FLA08190FL21000000040.000                    20181117MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20181117MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20181117MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20181117MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20181117MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20181117MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20181117MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20181117MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20181117MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20181117MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20181117MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20181117MB1B                9I3    
8190           8190ZE20620           FLA18190FL21000000010.000                    20181117MB1B                9I3    
8190           8190ZY13520           VNA08190SX51000000120.000                    20181117MB1B                9I3    
8190           8190ZP63820           FLA08190FL21000000040.000                    20181117MB1B                9I3    
8190           8190ZE20540           FLA18190FL21000000010.000                    20181117MB1B                9I3    
