8190           8190ZP63520           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZE22640           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZP62130           CLA08190CL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP64800           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP64800           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP62070           CLA08190CL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP63640           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP62030           CLA08190CL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP62030           CLA08190CL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP62030           CLA08190CL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP63540           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP61910           CLA08190CL21000000500.000                    20180521MB1B                9I3    
8190           8190ZP61910           CLA08190CL21000000500.000                    20180521MB1B                9I3    
8190           8190ZP63520           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP63520           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP62120           CLA08190CL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP62120           CLA08190CL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP62110           CLA08190CL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP62090           CLA08190CL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP64910           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP62030           CLA08190CL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP62020           CLA08190CL21000000040.000                    20180521MB1B                9I3    
