8190           8190ZQ90320           CL218190CL51000000020.000                    20180926MB1B                9I3    
8190           8190ZQ89650           CL218190CL51000000020.000                    20180926MB1B                9I3    
8190           8190ZQ89650           CL218190CL51000000020.000                    20180926MB1B                9I3    
8190           8190ZP61760           CLA08190CL21000000040.000                    20180926MB1B                9I3    
8190           8190ZQ89650           CL218190CL51000000020.000                    20180926MB1B                9I3    
8190           8190ZQ89650           CL218190CL51000000020.000                    20180926MB1B                9I3    
8190           8190ZQ89380           CL218190CL51000000020.000                    20180926MB1B                9I3    
8190           8190ZP61880           CLA08190CL21000000040.000                    20180926MB1B                9I3    
8190           8190ZQ89380           CL218190CL51000000020.000                    20180926MB1B                9I3    
8190           8190ZQ89380           CL218190CL51000000020.000                    20180926MB1B                9I3    
8190           8190ZP61950           CLA08190CL21000000100.000                    20180926MB1B                9I3    
8190           8190ZQ87760           CL218190CL51000000020.000                    20180926MB1B                9I3    
8190           8190ZP61950           CLA08190CL21000000100.000                    20180926MB1B                9I3    
8190           8190ZP61610           CLA08190CL21000000040.000                    20180926MB1B                9I3    
8190           8190ZP61920           CLA08190CL21000000100.000                    20180926MB1B                9I3    
8190           8190ZP61920           CLA08190CL21000000100.000                    20180926MB1B                9I3    
8190           8190ZP61920           CLA08190CL21000000100.000                    20180926MB1B                9I3    
8190           8190ZP61920           CLA08190CL21000000100.000                    20180926MB1B                9I3    
8190           8190ZP61920           CLA08190CL21000000100.000                    20180926MB1B                9I3    
8190           8190ZP61940           CLA08190CL21000000100.000                    20180926MB1B                9I3    
8190           8190ZQ89830           CL218190CL51000000020.000                    20180926MB1B                9I3    
8190           8190ZQ89830           CL218190CL51000000020.000                    20180926MB1B                9I3    
8190           8190ZQ91970           CL218190CL51000000020.000                    20180926MB1B                9I3    
8190           8190ZQ91970           CL218190CL51000000020.000                    20180926MB1B                9I3    
8190           8190ZP61950           CLA08190CL21000000100.000                    20180926MB1B                9I3    
8190           8190ZQ87760           CL218190CL51000000020.000                    20180926MB1B                9I3    
8190           8190ZQ89740           CL218190CL51000000020.000                    20180926MB1B                9I3    
8190           8190ZP66930           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP66910           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP66850           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP65240           SXA08190SX21000000016.000                    20180926MB1B                9I3    
8190           8190ZP66850           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP66850           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP66830           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP66810           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP64090           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP64080           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP66940           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP66940           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP67030           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP67410           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP67070           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP67410           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP64550           SXA08190SX21000000016.000                    20180926MB1B                9I3    
8190           8190ZP64550           SXA08190SX21000000016.000                    20180926MB1B                9I3    
8190           8190ZP64580           SXA08190SX21000000016.000                    20180926MB1B                9I3    
8190           8190ZP64890           SXA08190SX21000000016.000                    20180926MB1B                9I3    
8190           8190ZP64890           SXA08190SX21000000016.000                    20180926MB1B                9I3    
8190           8190ZP64920           SXA08190SX21000000016.000                    20180926MB1B                9I3    
8190           8190ZP64920           SXA08190SX21000000016.000                    20180926MB1B                9I3    
8190           8190ZP64080           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP64080           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180926MB1B                9I3    
8190           8190ZP63460           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180926MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180926MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180926MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180926MB1B                9I3    
8190           8190ZP63400           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180926MB1B                9I3    
8190           8190ZP63400           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP63400           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP63530           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP63530           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP63940           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP64050           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP64050           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP64030           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP64020           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP64020           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP64000           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP63960           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP63950           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP63950           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP63940           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180926MB1B                9I3    
8190           8190ZP65240           SXA08190SX21000000016.000                    20180926MB1B                9I3    
8190           8190ZP62820           FLA08190FL21000000040.000                    20180926MB1B                9I3    
8190           8190ZP62710           FLA08190FL21000000040.000                    20180926MB1B                9I3    
8190           8190ZP62700           FLA08190FL21000000040.000                    20180926MB1B                9I3    
8190           8190ZP62700           FLA08190FL21000000040.000                    20180926MB1B                9I3    
8190           8190ZP62700           FLA08190FL21000000040.000                    20180926MB1B                9I3    
8190           8190ZP62700           FLA08190FL21000000040.000                    20180926MB1B                9I3    
8190           8190ZP62690           FLA08190FL21000000040.000                    20180926MB1B                9I3    
8190           8190ZP62680           FLA08190FL21000000040.000                    20180926MB1B                9I3    
8190           8190ZP62680           FLA08190FL21000000040.000                    20180926MB1B                9I3    
8190           8190ZP62680           FLA08190FL21000000040.000                    20180926MB1B                9I3    
8190           8190ZP62680           FLA08190FL21000000040.000                    20180926MB1B                9I3    
8190           8190ZP62710           FLA08190FL21000000040.000                    20180926MB1B                9I3    
8190           8190ZP62710           FLA08190FL21000000040.000                    20180926MB1B                9I3    
8190           8190ZP62820           FLA08190FL21000000040.000                    20180926MB1B                9I3    
8190           8190ZP62820           FLA08190FL21000000040.000                    20180926MB1B                9I3    
8190           8190ZP62820           FLA08190FL21000000040.000                    20180926MB1B                9I3    
8190           8190ZP62810           FLA08190FL21000000040.000                    20180926MB1B                9I3    
8190           8190ZP62770           FLA08190FL21000000040.000                    20180926MB1B                9I3    
8190           8190ZP62770           FLA08190FL21000000040.000                    20180926MB1B                9I3    
8190           8190ZP62770           FLA08190FL21000000040.000                    20180926MB1B                9I3    
8190           8190ZP62720           FLA08190FL21000000040.000                    20180926MB1B                9I3    
8190           8190ZP62720           FLA08190FL21000000040.000                    20180926MB1B                9I3    
8190           8190ZP62720           FLA08190FL21000000040.000                    20180926MB1B                9I3    
8190           8190ZP62680           FLA08190FL21000000040.000                    20180926MB1B                9I3    
8190           8190ZP63890           FLA08190FL21000000040.000                    20180926MB1B                9I3    
8190           8190ZP63890           FLA08190FL21000000040.000                    20180926MB1B                9I3    
8190           8190ZP67180           SXA08190SX21000000016.000                    20180926MB1B                9I3    
8190           8190ZP67180           SXA08190SX21000000016.000                    20180926MB1B                9I3    
8190           8190ZP66670           SXA08190SX21000000016.000                    20180926MB1B                9I3    
8190           8190ZP66670           SXA08190SX21000000016.000                    20180926MB1B                9I3    
8190           8190ZP66660           SXA08190SX21000000016.000                    20180926MB1B                9I3    
8190           8190ZP66630           SXA08190SX21000000016.000                    20180926MB1B                9I3    
8190           8190ZP66550           SXA08190SX21000000016.000                    20180926MB1B                9I3    
8190           8190ZP66390           SXA08190SX21000000016.000                    20180926MB1B                9I3    
8190           8190ZP66390           SXA08190SX21000000016.000                    20180926MB1B                9I3    
8190           8190ZP66320           SXA08190SX21000000016.000                    20180926MB1B                9I3    
8190           8190ZW92220           CLA08190CL21000000040.000                    20180926MB1B                9I3    
8190           8190ZW92220           CLA08190CL21000000040.000                    20180926MB1B                9I3    
8190           8190ZP63890           FLA08190FL21000000040.000                    20180926MB1B                9I3    
8190           8190ZP64140           FLA08190FL21000000040.000                    20180926MB1B                9I3    
8190           8190ZP64140           FLA08190FL21000000040.000                    20180926MB1B                9I3    
8190           8190WF9525C           SX218190SX51000000001.000                    20180926MB1B                9I3    
8190           8190WF9525C           SX218190SX51000000001.000                    20180926MB1B                9I3    
8190           8190WF9525C           SX218190SX51000000001.000                    20180926MB1B                9I3    
8190           8190WF9525C           SX218190SX51000000001.000                    20180926MB1B                9I3    
8190           8190WF9525C           SX218190SX51000000001.000                    20180926MB1B                9I3    
8190           8190ZW92220           CLA08190CL21000000040.000                    20180926MB1B                9I3    
8190           8190ZW92220           CLA08190CL21000000040.000                    20180926MB1B                9I3    
8190           8190ZP66320           SXA08190SX21000000016.000                    20180926MB1B                9I3    
8190           8190ZP63260           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20180926MB1B                9I3    
8190           8190ZP66840           SXA08190SX21000000016.000                    20180926MB1B                9I3    
8190           8190ZP66840           SXA08190SX21000000016.000                    20180926MB1B                9I3    
8190           8190ZP65220           SXA08190SX21000000016.000                    20180926MB1B                9I3    
8190           8190ZP65220           SXA08190SX21000000016.000                    20180926MB1B                9I3    
8190           8190ZP65210           SXA08190SX21000000016.000                    20180926MB1B                9I3    
8190           8190ZP65210           SXA08190SX21000000016.000                    20180926MB1B                9I3    
8190           8190ZP65210           SXA08190SX21000000016.000                    20180926MB1B                9I3    
8190           8190ZP64310           SXA08190SX21000000016.000                    20180926MB1B                9I3    
8190           8190ZR23210           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZR23200           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP66890           SXA08190SX21000000016.000                    20180926MB1B                9I3    
8190           8190ZP66890           SXA08190SX21000000016.000                    20180926MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20180926MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20180926MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20180926MB1B                9I3    
