8190           8190ZA52440           SX518190SX91000000001.000                    20171204MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20171204MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20171204MB1B                9I3    
8190           8190ZA52440           SX518190SX91000000001.000                    20171204MB1B                9I3    
8190           8190ZA52440           SX518190SX91000000001.000                    20171204MB1B                9I3    
8190           8190ZA52440           SX518190SX91000000001.000                    20171204MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20171204MB1B                9I3    
8190           8190ZQ83740           SX218190SX51000000015.000                    20171204MB1B                9I3    
8190           8190ZQ83740           SX218190SX51000000015.000                    20171204MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20171204MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20171204MB1B                9I3    
8190           8190ZQ84100           SX218190SX51000000015.000                    20171204MB1B                9I3    
8190           8190ZQ84100           SX218190SX51000000015.000                    20171204MB1B                9I3    
8190           8190ZA52440           SX518190SX91000000001.000                    20171204MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20171204MB1B                9I3    
8190           8190ZP62840           FLA08190FL21000000040.000                    20171204MB1B                9I3    
8190           8190ZU06190           FL518190FL91000000005.000                    20171204MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171204MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171204MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171204MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171204MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171204MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171204MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171204MB1B                9I3    
8190           8190ZU06190           FL518190FL91000000005.000                    20171204MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20171204MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20171204MB1B                9I3    
8190           8190ZP67660           FLA08190FLA1000000060.000                    20171204MB1B                9I3    
8190           8190ZP67660           FLA08190FLA1000000060.000                    20171204MB1B                9I3    
8190           8190ZP67650           FLA08190FLA1000000060.000                    20171204MB1B                9I3    
8190           8190ZP67650           FLA08190FLA1000000060.000                    20171204MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20171204MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20171204MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20171204MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20171204MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171204MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20171204MB1B                9I3    
8190           8190ZQ85100           SX218190SX51000000015.000                    20171204MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20171204MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20171204MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20171204MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20171204MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20171204MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20171204MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20171204MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20171204MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20171204MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20171204MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20171204MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20171204MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20171204MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20171204MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20171204MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20171204MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20171204MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20171204MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20171204MB1B                9I3    
8190           8190ZQ95100           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZT45710           FL218190FL51000000020.000                    20171204MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20171204MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20171204MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20171204MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20171204MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20171204MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20171204MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20171204MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20171204MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20171204MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20171204MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20171204MB1B                9I3    
8190           8190ZT44660           FL218190FL51000000020.000                    20171204MB1B                9I3    
8190           8190ZT91380           FL218190FL51000000020.000                    20171204MB1B                9I3    
8190           8190ZT45380           FL218190FL51000000020.000                    20171204MB1B                9I3    
8190           8190ZQ86110           SX218190SX51000000015.000                    20171204MB1B                9I3    
8190           8190ZQ86110           SX218190SX51000000015.000                    20171204MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20171204MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20171204MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20171204MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20171204MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20171204MB1B                9I3    
8190           8190ZR00630           SX518190SX91000000008.000                    20171204MB1B                9I3    
8190           8190ZR00630           SX518190SX91000000008.000                    20171204MB1B                9I3    
8190           8190ZR00730           SX518190SX91000000008.000                    20171204MB1B                9I3    
8190           8190ZR00730           SX518190SX91000000008.000                    20171204MB1B                9I3    
8190           8190ZR00730           SX518190SX91000000008.000                    20171204MB1B                9I3    
8190           8190ZR02440           SX518190SX91000000008.000                    20171204MB1B                9I3    
8190           8190ZR02190           SX518190SX91000000008.000                    20171204MB1B                9I3    
8190           8190ZR02190           SX518190SX91000000008.000                    20171204MB1B                9I3    
8190           8190ZR00630           SX518190SX91000000008.000                    20171204MB1B                9I3    
8190           8190ZR00450           SX518190SX91000000008.000                    20171204MB1B                9I3    
8190           8190ZR00450           SX518190SX91000000008.000                    20171204MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20171204MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20171204MB1B                9I3    
8190           8190ZT45070           FL218190FL51000000020.000                    20171204MB1B                9I3    
8190           8190ZT45070           FL218190FL51000000020.000                    20171204MB1B                9I3    
8190           8190ZR00480           SX518190SX91000000008.000                    20171204MB1B                9I3    
8190           8190ZR00480           SX518190SX91000000008.000                    20171204MB1B                9I3    
8190           8190ZR01470           SX518190SX91000000008.000                    20171204MB1B                9I3    
8190           8190ZR01470           SX518190SX91000000008.000                    20171204MB1B                9I3    
8190           8190ZR02190           SX518190SX91000000008.000                    20171204MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20171204MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171204MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171204MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171204MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171204MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171204MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171204MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171204MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171204MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171204MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171204MB1B                9I3    
