8190           8190ZU03150           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190ZU02550           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190ZT44810           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190ZT45450           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190ZT45980           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190ZT44810           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190ZT44880           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190ZT45720           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190ZT44180           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190ZT44880           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190ZT44660           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190W61948A           SX518190SX91000000001.000                    20171114MB1B                9I3    
8190           8190W61948A           SX518190SX91000000001.000                    20171114MB1B                9I3    
8190           8190W61948A           SX518190SX91000000001.000                    20171114MB1B                9I3    
8190           8190ZQ98200           SX218190SX51000000008.000                    20171114MB1B                9I3    
8190           8190ZQ98200           SX218190SX51000000008.000                    20171114MB1B                9I3    
8190           8190ZQ93610           SX218190SX51000000015.000                    20171114MB1B                9I3    
8190           8190ZQ93610           SX218190SX51000000015.000                    20171114MB1B                9I3    
8190           8190ZQ86250           SX218190SX51000000015.000                    20171114MB1B                9I3    
8190           8190ZQ86250           SX218190SX51000000015.000                    20171114MB1B                9I3    
8190           8190ZQ90320           CL218190CL51000000020.000                    20171114MB1B                9I3    
8190           8190ZQ89530           CL218190CL51000000020.000                    20171114MB1B                9I3    
8190           8190ZQ88090           CL218190CL51000000020.000                    20171114MB1B                9I3    
8190           8190ZQ88000           CL218190CL51000000020.000                    20171114MB1B                9I3    
8190           8190ZQ91900           CL218190CL51000000020.000                    20171114MB1B                9I3    
8190           8190ZQ89940           CL218190CL51000000020.000                    20171114MB1B                9I3    
8190           8190ZQ87660           CL218190CL51000000020.000                    20171114MB1B                9I3    
8190           8190ZQ87660           CL218190CL51000000020.000                    20171114MB1B                9I3    
8190           8190ZQ87660           CL218190CL51000000020.000                    20171114MB1B                9I3    
8190           8190ZQ87890           CL218190CL51000000020.000                    20171114MB1B                9I3    
8190           8190ZQ87890           CL218190CL51000000020.000                    20171114MB1B                9I3    
8190           8190ZQ89380           CL218190CL51000000020.000                    20171114MB1B                9I3    
8190           8190ZQ90040           CL218190CL51000000020.000                    20171114MB1B                9I3    
8190           8190ZQ89650           CL218190CL51000000020.000                    20171114MB1B                9I3    
8190           8190ZQ89740           CL218190CL51000000020.000                    20171114MB1B                9I3    
8190           8190ZQ89740           CL218190CL51000000020.000                    20171114MB1B                9I3    
8190           8190ZQ88300           CL218190CL51000000020.000                    20171114MB1B                9I3    
8190           8190ZQ88300           CL218190CL51000000020.000                    20171114MB1B                9I3    
8190           8190ZQ87600           CL218190CL51000000020.000                    20171114MB1B                9I3    
8190           8190ZQ87600           CL218190CL51000000020.000                    20171114MB1B                9I3    
8190           8190ZQ92030           CL218190CL51000000020.000                    20171114MB1B                9I3    
8190           8190ZQ87840           CL218190CL51000000020.000                    20171114MB1B                9I3    
8190           8190ZQ88890           SX218190SX51000000015.000                    20171114MB1B                9I3    
8190           8190ZQ89530           CL218190CL51000000020.000                    20171114MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20171114MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20171114MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20171114MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20171114MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20171114MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20171114MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20171114MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20171114MB1B                9I3    
8190           8190ZT44880           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190ZT43910           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190ZT43910           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190ZT44660           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190ZT44880           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190ZR01250           SX218190SX51000000008.000                    20171114MB1B                9I3    
8190           8190ZR01250           SX218190SX51000000008.000                    20171114MB1B                9I3    
8190           8190ZT44730           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190ZT44730           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171114MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171114MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171114MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171114MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171114MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171114MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171114MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171114MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171114MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20171114MB1B                9I3    
8190           8190ZT44730           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190ZT44730           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190ZT91470           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190ZT44270           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190ZQ99100           SX218190SX51000000008.000                    20171114MB1B                9I3    
8190           8190ZQ99100           SX218190SX51000000008.000                    20171114MB1B                9I3    
8190           8190ZQ98040           SX218190SX51000000008.000                    20171114MB1B                9I3    
8190           8190WF9525C           SX218190SX51000000001.000                    20171114MB1B                9I3    
8190           8190WF9525C           SX218190SX51000000001.000                    20171114MB1B                9I3    
8190           8190WF9525C           SX218190SX51000000001.000                    20171114MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171114MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171114MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171114MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171114MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171114MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171114MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171114MB1B                9I3    
8190           8190ZY85290           SX218190SX51000000010.000                    20171114MB1B                9I3    
8190           8190ZQ95600           SX218190SX51000000008.000                    20171114MB1B                9I3    
8190           8190ZQ95600           SX218190SX51000000008.000                    20171114MB1B                9I3    
8190           8190ZU03090           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190ZU03090           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190ZT44730           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190ZT45720           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190ZQ86540           SX218190SX51000000015.000                    20171114MB1B                9I3    
8190           8190ZQ87760           CL218190CL51000000020.000                    20171114MB1B                9I3    
8190           8190ZQ89830           CL218190CL51000000020.000                    20171114MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171114MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171114MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171114MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171114MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171114MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20171114MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20171114MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20171114MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20171114MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20171114MB1B                9I3    
8190           8190ZP67900           FLA08190FL51000000040.000                    20171114MB1B                9I3    
8190           8190ZP67900           FLA08190FL51000000040.000                    20171114MB1B                9I3    
8190           8190ZP67900           FLA08190FL51000000040.000                    20171114MB1B                9I3    
8190           8190ZP67900           FLA08190FL51000000040.000                    20171114MB1B                9I3    
8190           8190ZP67900           FLA08190FL51000000040.000                    20171114MB1B                9I3    
8190           8190ZP67900           FLA08190FL51000000040.000                    20171114MB1B                9I3    
8190           8190ZP67900           FLA08190FL51000000040.000                    20171114MB1B                9I3    
8190           8190ZQ98550           SX218190SX51000000008.000                    20171114MB1B                9I3    
8190           8190ZT44180           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190ZQ89830           CL218190CL51000000020.000                    20171114MB1B                9I3    
8190           8190ZQ89110           SX218190SX51000000015.000                    20171114MB1B                9I3    
8190           8190ZQ89110           SX218190SX51000000015.000                    20171114MB1B                9I3    
8190           8190ZQ86110           SX218190SX51000000015.000                    20171114MB1B                9I3    
8190           8190ZQ86110           SX218190SX51000000015.000                    20171114MB1B                9I3    
8190           8190ZQ86110           SX218190SX51000000015.000                    20171114MB1B                9I3    
8190           8190ZQ86110           SX218190SX51000000015.000                    20171114MB1B                9I3    
8190           8190ZQ93710           SX218190SX51000000015.000                    20171114MB1B                9I3    
8190           8190ZQ85100           SX218190SX51000000015.000                    20171114MB1B                9I3    
8190           8190ZQ85100           SX218190SX51000000015.000                    20171114MB1B                9I3    
8190           8190ZQ85100           SX218190SX51000000015.000                    20171114MB1B                9I3    
8190           8190ZQ86000           SX218190SX51000000015.000                    20171114MB1B                9I3    
8190           8190ZQ84650           SX218190SX51000000015.000                    20171114MB1B                9I3    
8190           8190ZQ93230           SX218190SX51000000015.000                    20171114MB1B                9I3    
8190           8190ZQ93230           SX218190SX51000000015.000                    20171114MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20171114MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20171114MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20171114MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20171114MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20171114MB1B                9I3    
8190           8190ZQ93610           SX218190SX51000000015.000                    20171114MB1B                9I3    
8190           8190ZQ84350           SX218190SX51000000015.000                    20171114MB1B                9I3    
8190           8190ZQ88320           SX218190SX51000000015.000                    20171114MB1B                9I3    
8190           8190ZQ86770           SX218190SX51000000015.000                    20171114MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20171114MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20171114MB1B                9I3    
8190           8190ZQ88520           SX218190SX51000000015.000                    20171114MB1B                9I3    
8190           8190ZQ88520           SX218190SX51000000015.000                    20171114MB1B                9I3    
8190           8190ZQ83740           SX218190SX51000000015.000                    20171114MB1B                9I3    
8190           8190ZQ88990           SX218190SX51000000015.000                    20171114MB1B                9I3    
8190           8190ZQ88990           SX218190SX51000000015.000                    20171114MB1B                9I3    
8190           8190ZQ83930           SX218190SX51000000015.000                    20171114MB1B                9I3    
8190           8190ZQ83930           SX218190SX51000000015.000                    20171114MB1B                9I3    
8190           8190ZQ88890           SX218190SX51000000015.000                    20171114MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20171114MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20171114MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20171114MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20171114MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20171114MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20171114MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20171114MB1B                9I3    
8190           8190ZQ86250           SX218190SX51000000015.000                    20171114MB1B                9I3    
8190           8190ZU02550           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190ZU02770           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190ZT43910           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190ZT43910           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20171114MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20171114MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20171114MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20171114MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20171114MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20171114MB1B                9I3    
