8190           8190ZP65120           SXA08190SX21000000016.000                    20181108MB1B                9I3    
8190           8190ZR48720           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZR48720           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZR48720           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP67770           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP67760           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP67760           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP67740           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP67740           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP67720           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP67720           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP67710           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP67710           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP67710           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP67770           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP67770           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP67940           SXA08190VN21000000030.000                    20181108MB1B                9I3    
8190           8190ZR48720           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZR48720           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZR23200           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZR23200           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP90580           SXA08190SX51000000030.000                    20181108MB1B                9I3    
8190           8190ZP90580           SXA08190SX51000000030.000                    20181108MB1B                9I3    
8190           8190ZP90580           SXA08190SX51000000030.000                    20181108MB1B                9I3    
8190           8190ZP90580           SXA08190SX51000000030.000                    20181108MB1B                9I3    
8190           8190ZP90580           SXA08190SX51000000030.000                    20181108MB1B                9I3    
8190           8190ZP67940           SXA08190VN21000000030.000                    20181108MB1B                9I3    
