8190           8190ZR01500           SX518190SX91000000008.000                    20181101MB1B                9I3    
8190           8190ZR02120           SX518190SX91000000008.000                    20181101MB1B                9I3    
8190           8190ZY51560           FLA08190FLA1000000010.000                    20181101MB1B                9I3    
8190           8190ZK50340           SXA18190SX21000000005.000                    20181105MB1B                9I3    
8190           8190ZK50340           SXA18190SX21000000005.000                    20181105MB1B                9I3    
8190           8190ZY51560           FLA08190FLA1000000010.000                    20181102MB1B                9I3    
8190           8190ZY51560           FLA08190FLA1000000010.000                    20181102MB1B                9I3    
8190           8190ZK50340           SXA18190SX21000000005.000                    20181101MB1B                9I3    
8190           8190ZK50340           SXA18190SX21000000005.000                    20181102MB1B                9I3    
8190           8190ZK50340           SXA18190SX21000000005.000                    20181102MB1B                9I3    
8190           8190VAS1300           SX218190SX51000000030.000                    20181102MB1B                9I3    
8190           8190ZY51560           FLA08190FLA1000000010.000                    20181102MB1B                9I3    
8190           8190ZY51560           FLA08190FLA1000000010.000                    20181102MB1B                9I3    
8190           8190ZY51560           FLA08190FLA1000000010.000                    20181102MB1B                9I3    
8190           8190ZY51560           FLA08190FLA1000000010.000                    20181102MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20181107MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20181107MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181107MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181107MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181107MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181107MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181107MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181107MB1B                9I3    
8190           8190ZT45380           FL218190FL51000000020.000                    20181107MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20181107MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181107MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181107MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181107MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20181107MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20181107MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20181107MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181107MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20181107MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20181107MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20181107MB1B                9I3    
8190           8190ZP66740           SXA08190SX21000000030.000                    20181107MB1B                9I3    
8190           8190WY91390           SXA18190SX21000000005.000                    20181107MB1B                9I3    
8190           8190WY91390           SXA18190SX21000000005.000                    20181107MB1B                9I3    
8190           8190WY91390           SXA18190SX21000000005.000                    20181107MB1B                9I3    
8190           8190ZT45380           FL218190FL51000000020.000                    20181107MB1B                9I3    
8190           8190ZP64470           SXA08190SX21000000024.000                    20181107MB1B                9I3    
8190           8190ZP64470           SXA08190SX21000000024.000                    20181107MB1B                9I3    
8190           8190ZP66560           SXA08190SX21000000050.000                    20181107MB1B                9I3    
8190           8190ZP66740           SXA08190SX21000000030.000                    20181107MB1B                9I3    
8190           8190WY91390           SXA18190SX21000000005.000                    20181107MB1B                9I3    
8190           8190ZP66740           SXA08190SX21000000030.000                    20181107MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20181107MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20181107MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20181107MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20181107MB1B                9I3    
8190           8190WY91390           SXA18190SX21000000005.000                    20181107MB1B                9I3    
8190           8190WY91390           SXA18190SX21000000005.000                    20181107MB1B                9I3    
8190           8190WY91390           SXA18190SX21000000005.000                    20181107MB1B                9I3    
8190           8190WY91390           SXA18190SX21000000005.000                    20181107MB1B                9I3    
8190           8190ZP66560           SXA08190SX21000000050.000                    20181107MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20181107MB1B                9I3    
8190           8190ZU49300           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZU24320           FL218190FL51000000005.000                    20181107MB1B                9I3    
8190           8190ZP63820           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP63650           FLA08190FL21000000040.000                    20181107MB1B                9I3    
