8190           8190ZP62710           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP62710           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP62690           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP62670           FLA08190FL21000000100.000                    20171218MB1B                9I3    
8190           8190ZP62670           FLA08190FL21000000100.000                    20171218MB1B                9I3    
8190           8190ZP62670           FLA08190FL21000000100.000                    20171218MB1B                9I3    
8190           8190ZP62710           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP62720           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP62820           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP62810           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP62810           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP62810           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP62790           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP62790           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP62770           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP62720           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP62720           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP62720           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP62720           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP62670           FLA08190FL21000000100.000                    20171218MB1B                9I3    
8190           8190ZQ88890           SX218190SX51000000015.000                    20171218MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20171218MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20171218MB1B                9I3    
8190           8190ZQ88520           SX218190SX51000000015.000                    20171218MB1B                9I3    
8190           8190ZY85340           SX218190SX51000000010.000                    20171218MB1B                9I3    
8190           8190ZY85340           SX218190SX51000000010.000                    20171218MB1B                9I3    
8190           8190ZZ32200           SX218190SX51000000010.000                    20171218MB1B                9I3    
8190           8190ZY85462           SX218190SX51000000010.000                    20171218MB1B                9I3    
8190           8190ZY85800           SX218190SX51000000010.000                    20171218MB1B                9I3    
8190           8190ZZ32580           SX218190SX51000000010.000                    20171218MB1B                9I3    
8190           8190ZZ32660           SX218190SX51000000010.000                    20171218MB1B                9I3    
8190           8190ZY85230           SX218190SX51000000010.000                    20171218MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20171218MB1B                9I3    
8190           8190ZQ88990           SX218190SX51000000015.000                    20171218MB1B                9I3    
8190           8190ZQ88890           SX218190SX51000000015.000                    20171218MB1B                9I3    
