8190           8190ZQ95210           SX518190SX91000000015.000                    20181010MB1B                9I3    
8190           8190ZQ95660           SX518190SX91000000015.000                    20181010MB1B                9I3    
8190           8190ZQ95660           SX518190SX91000000015.000                    20181010MB1B                9I3    
8190           8190ZQ94420           SX518190SX91000000015.000                    20181010MB1B                9I3    
8190           8190ZQ94910           SX518190SX91000000015.000                    20181010MB1B                9I3    
8190           8190ZR10740           SX518190SX91000000015.000                    20181010MB1B                9I3    
8190           8190ZR10680           SX518190SX91000000015.000                    20181010MB1B                9I3    
8190           8190ZQ94420           SX518190SX91000000015.000                    20181010MB1B                9I3    
8190           8190ZQ94420           SX518190SX91000000015.000                    20181010MB1B                9I3    
8190           8190ZQ95210           SX518190SX91000000015.000                    20181010MB1B                9I3    
8190           8190ZQ94950           SX518190SX91000000015.000                    20181010MB1B                9I3    
8190           8190ZQ94950           SX518190SX91000000015.000                    20181010MB1B                9I3    
8190           8190ZR10700           SX518190SX91000000015.000                    20181010MB1B                9I3    
8190           8190ZR10700           SX518190SX91000000015.000                    20181010MB1B                9I3    
8190           8190ZR10700           SX518190SX91000000015.000                    20181010MB1B                9I3    
8190           8190ZR10700           SX518190SX91000000015.000                    20181010MB1B                9I3    
8190           8190ZR10700           SX518190SX91000000015.000                    20181010MB1B                9I3    
8190           8190ZQ95240           SX518190SX91000000015.000                    20181010MB1B                9I3    
8190           8190ZQ95240           SX518190SX91000000015.000                    20181010MB1B                9I3    
8190           8190ZQ94520           SX518190SX91000000015.000                    20181010MB1B                9I3    
8190           8190ZQ94520           SX518190SX91000000015.000                    20181010MB1B                9I3    
8190           8190ZQ94950           SX518190SX91000000015.000                    20181010MB1B                9I3    
8190           8190ZQ94910           SX518190SX91000000015.000                    20181010MB1B                9I3    
8190           8190ZQ94910           SX518190SX91000000015.000                    20181010MB1B                9I3    
8190           8190ZR10680           SX518190SX91000000015.000                    20181010MB1B                9I3    
8190           8190ZR10680           SX518190SX91000000015.000                    20181010MB1B                9I3    
8190           8190ZQ94400           SX518190SX91000000015.000                    20181010MB1B                9I3    
8190           8190ZP61460           CLA08190CL21000000040.000                    20181010MB1B                9I3    
8190           8190ZP61400           CLA08190CL21000000040.000                    20181010MB1B                9I3    
