8190           8190ZU06220           FL218190FL51000000005.000                    20180609MB1B                9I3    
8190           8190ZU06220           FL218190FL51000000005.000                    20180609MB1B                9I3    
8190           8190ZU02980           FLA18190FL51000000005.000                    20180609MB1B                9I3    
8190           8190ZU02980           FLA18190FL51000000005.000                    20180609MB1B                9I3    
8190           8190ZU02980           FLA18190FL51000000005.000                    20180609MB1B                9I3    
8190           8190ZP66980           SXA08190VN91000000090.000                    20180609MB1B                9I3    
8190           8190ZP66980           SXA08190VN91000000090.000                    20180609MB1B                9I3    
8190           8190ZU02980           FLA18190FL51000000005.000                    20180609MB1B                9I3    
8190           8190ZU02980           FLA18190FL51000000005.000                    20180609MB1B                9I3    
8190           8190ZU02980           FLA18190FL51000000005.000                    20180609MB1B                9I3    
8190           8190ZU02980           FLA18190FL51000000005.000                    20180609MB1B                9I3    
8190           8190ZU02980           FLA18190FL51000000005.000                    20180609MB1B                9I3    
8190           8190ZU02980           FLA18190FL51000000005.000                    20180609MB1B                9I3    
8190           8190ZP66980           SXA08190VN91000000090.000                    20180609MB1B                9I3    
8190           8190ZU02980           FLA18190FL51000000005.000                    20180609MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20180609MB1B                9I3    
8190           8190ZQ90160           CL218190CL51000000020.000                    20180609MB1B                9I3    
8190           8190ZR02120           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190ZP65110           FLA08190FL91000000120.000                    20180609MB1B                9I3    
8190           8190ZR01140           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190ZR01140           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190ZR01500           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190ZR01500           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190ZR01220           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190ZP65150           FLA08190FL91000000120.000                    20180609MB1B                9I3    
8190           8190ZP65150           FLA08190FL91000000120.000                    20180609MB1B                9I3    
8190           8190ZR01220           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190ZP65150           FLA08190FL91000000120.000                    20180609MB1B                9I3    
8190           8190ZR00860           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190ZP62590           FLA08190FL91000000120.000                    20180609MB1B                9I3    
8190           8190ZP62600           FLA08190FL91000000120.000                    20180609MB1B                9I3    
8190           8190ZR00350           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190ZR00350           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190ZP62610           FLA08190FL91000000120.000                    20180609MB1B                9I3    
8190           8190ZR00350           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190ZP62610           FLA08190FL91000000120.000                    20180609MB1B                9I3    
8190           8190ZR00860           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190ZR00860           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190ZR00860           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190ZP62600           FLA08190FL91000000120.000                    20180609MB1B                9I3    
8190           8190ZP62600           FLA08190FL91000000120.000                    20180609MB1B                9I3    
8190           8190ZR00800           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190ZR00800           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190ZR00800           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190ZQ89350           CL518190CL91000000020.000                    20180609MB1B                9I3    
8190           8190ZQ89350           CL518190CL91000000020.000                    20180609MB1B                9I3    
8190           8190ZQ87970           CL518190CL91000000020.000                    20180609MB1B                9I3    
8190           8190ZQ87970           CL518190CL91000000020.000                    20180609MB1B                9I3    
8190           8190ZQ88130           CL518190CL91000000020.000                    20180609MB1B                9I3    
8190           8190ZQ88130           CL518190CL91000000020.000                    20180609MB1B                9I3    
8190           8190ZQ87810           CL518190CL91000000020.000                    20180609MB1B                9I3    
8190           8190ZQ87810           CL518190CL91000000020.000                    20180609MB1B                9I3    
8190           8190ZQ91990           CL518190CL91000000020.000                    20180609MB1B                9I3    
8190           8190ZQ87570           CL518190CL91000000020.000                    20180609MB1B                9I3    
8190           8190ZQ90280           CL518190CL91000000020.000                    20180609MB1B                9I3    
8190           8190ZQ90280           CL518190CL91000000020.000                    20180609MB1B                9I3    
8190           8190ZQ87730           CL518190CL91000000020.000                    20180609MB1B                9I3    
8190           8190ZP65980           FLA08190FL91000000120.000                    20180609MB1B                9I3    
8190           8190ZP65090           FLA08190FL91000000120.000                    20180609MB1B                9I3    
8190           8190ZQ11690           SX518190SX91000000050.000                    20180609MB1B                9I3    
8190           8190ZQ11690           SX518190SX91000000050.000                    20180609MB1B                9I3    
8190           8190ZQ11690           SX518190SX91000000050.000                    20180609MB1B                9I3    
8190           8190ZQ89610           CL518190CL91000000020.000                    20180609MB1B                9I3    
8190           8190ZQ89610           CL518190CL91000000020.000                    20180609MB1B                9I3    
8190           8190ZQ91680           CL518190CL91000000020.000                    20180609MB1B                9I3    
8190           8190ZQ91680           CL518190CL91000000020.000                    20180609MB1B                9I3    
8190           8190ZQ87730           CL518190CL91000000020.000                    20180609MB1B                9I3    
8190           8190ZQ89480           CL518190CL91000000020.000                    20180609MB1B                9I3    
8190           8190ZR01590           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190ZR00380           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190ZR00760           SX518190SX91000000008.000                    20180609MB1B                9I3    
