8190           8190ZP66880           SXA08190SX21000000030.000                    20180919MB1B                9I3    
8190           8190ZP66880           SXA08190SX21000000030.000                    20180919MB1B                9I3    
8190           8190ZP67210           SXA08190SX21000000030.000                    20180919MB1B                9I3    
8190           8190ZP67210           SXA08190SX21000000030.000                    20180919MB1B                9I3    
8190           8190ZP64010           SXA08190SX21000000030.000                    20180919MB1B                9I3    
8190           8190ZP64010           SXA08190SX21000000030.000                    20180919MB1B                9I3    
8190           8190ZP67190           SXA08190SX21000000030.000                    20180919MB1B                9I3    
8190           8190ZP67190           SXA08190SX21000000030.000                    20180919MB1B                9I3    
8190           8190ZP67190           SXA08190SX21000000030.000                    20180919MB1B                9I3    
8190           8190ZQ89910           CL518190CL91000000020.000                    20180919MB1B                9I3    
8190           8190ZQ91680           CL518190CL91000000020.000                    20180919MB1B                9I3    
8190           8190ZC34590           SXA18190SX21000000005.000                    20180919MB1B                9I3    
8190           8190ZQ91680           CL518190CL91000000020.000                    20180919MB1B                9I3    
8190           8190ZQ91680           CL518190CL91000000020.000                    20180919MB1B                9I3    
8190           8190ZC34590           SXA18190SX21000000005.000                    20180919MB1B                9I3    
8190           8190ZC58580           SXA18190SX21000000005.000                    20180919MB1B                9I3    
8190           8190ZQ94400           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ94400           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ89910           CL518190CL91000000020.000                    20180919MB1B                9I3    
8190           8190ZQ89910           CL518190CL91000000020.000                    20180919MB1B                9I3    
8190           8190ZP64280           SXA08190SX21000000030.000                    20180919MB1B                9I3    
8190           8190ZP64280           SXA08190SX21000000030.000                    20180919MB1B                9I3    
8190           8190ZP64260           SXA08190SX21000000030.000                    20180919MB1B                9I3    
8190           8190ZP64260           SXA08190SX21000000030.000                    20180919MB1B                9I3    
8190           8190ZC34590           SXA18190SX21000000005.000                    20180919MB1B                9I3    
8190           8190ZQ87810           CL518190CL91000000020.000                    20180919MB1B                9I3    
8190           8190ZQ87810           CL518190CL91000000020.000                    20180919MB1B                9I3    
8190           8190ZQ87810           CL518190CL91000000020.000                    20180919MB1B                9I3    
8190           8190ZQ93090           CL518190CL91000000020.000                    20180919MB1B                9I3    
8190           8190ZQ95180           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZP61530           CLA08190CL21000000040.000                    20180919MB1B                9I3    
8190           8190ZQ95010           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ94910           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ94550           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ94550           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ94550           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ94890           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ94890           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ94890           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ94470           SX518190SX91000000015.000                    20180919MB1B                9I3    
