8190           8190ZP67670           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP67590           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP67590           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22490           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22490           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22490           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22490           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22490           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22490           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZP67500           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP67480           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP67480           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22490           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZP67570           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP67590           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP67570           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP67570           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP67570           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP67570           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP67570           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP67570           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP67570           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP67570           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP67430           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP65200           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP64410           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP64410           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP64400           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP64400           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP64390           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP64390           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP64370           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZP64370           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZP65200           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP64450           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP64450           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP64420           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP64420           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20180707MB1B                9I3    
