8190           8190ZQ88060           CL518190CL91000000020.000                    20181212MB1B                9I3    
8190           8190ZC34590           SXA18190SX21000000005.000                    20181212MB1B                9I3    
8190           8190ZC34590           SXA18190SX21000000005.000                    20181212MB1B                9I3    
8190           8190ZQ87860           CL518190CL91000000020.000                    20181212MB1B                9I3    
8190           8190ZQ89800           CL518190CL91000000020.000                    20181212MB1B                9I3    
8190           8190ZQ91920           CL518190CL91000000020.000                    20181212MB1B                9I3    
8190           8190ZQ89480           CL518190CL91000000020.000                    20181212MB1B                9I3    
8190           8190ZQ90000           CL518190CL91000000020.000                    20181212MB1B                9I3    
8190           8190ZQ90280           CL518190CL91000000020.000                    20181212MB1B                9I3    
8190           8190ZQ90280           CL518190CL91000000020.000                    20181212MB1B                9I3    
8190           8190ZQ89350           CL518190CL91000000020.000                    20181212MB1B                9I3    
8190           8190ZQ89350           CL518190CL91000000020.000                    20181212MB1B                9I3    
8190           8190ZQ89480           CL518190CL91000000020.000                    20181212MB1B                9I3    
8190           8190ZQ87730           CL518190CL91000000020.000                    20181212MB1B                9I3    
8190           8190ZQ87730           CL518190CL91000000020.000                    20181212MB1B                9I3    
8190           8190ZQ87630           CL518190CL91000000020.000                    20181212MB1B                9I3    
8190           8190ZQ91680           CL518190CL91000000020.000                    20181212MB1B                9I3    
8190           8190ZQ87810           CL518190CL91000000020.000                    20181212MB1B                9I3    
8190           8190ZF36800           SXA28190SX21000000020.000                    20181212MB1B                9I3    
8190           8190VAS0030           CL518190CL91000000030.000                    20181212MB1B                9I3    
8190           8190ZF36800           SXA28190SX21000000020.000                    20181212MB1B                9I3    
8190           8190ZF36890           SXA28190SX21000000020.000                    20181212MB1B                9I3    
8190           8190ZF36890           SXA28190SX21000000020.000                    20181212MB1B                9I3    
8190           8190ZF36890           SXA28190SX21000000020.000                    20181212MB1B                9I3    
8190           8190ZF36890           SXA28190SX21000000020.000                    20181212MB1B                9I3    
8190           8190ZF37200           SXA28190SX21000000020.000                    20181212MB1B                9I3    
8190           8190ZF37200           SXA28190SX21000000020.000                    20181212MB1B                9I3    
8190           8190ZF37200           SXA28190SX21000000020.000                    20181212MB1B                9I3    
8190           8190ZF37200           SXA28190SX21000000020.000                    20181212MB1B                9I3    
8190           8190ZF37200           SXA28190SX21000000020.000                    20181212MB1B                9I3    
8190           8190ZF37630           SXA28190SX21000000020.000                    20181212MB1B                9I3    
8190           8190ZF37630           SXA28190SX21000000020.000                    20181212MB1B                9I3    
8190           8190VAR9930           SX518190SX91000000030.000                    20181212MB1B                9I3    
8190           8190VAR9930           SX518190SX91000000030.000                    20181212MB1B                9I3    
8190           8190ZQ87810           CL518190CL91000000020.000                    20181212MB1B                9I3    
8190           8190ZQ88130           CL518190CL91000000020.000                    20181212MB1B                9I3    
8190           8190ZQ88130           CL518190CL91000000020.000                    20181212MB1B                9I3    
8190           8190ZQ87970           CL518190CL91000000020.000                    20181212MB1B                9I3    
8190           8190ZQ87970           CL518190CL91000000020.000                    20181212MB1B                9I3    
8190           8190ZQ91990           CL518190CL91000000020.000                    20181212MB1B                9I3    
8190           8190ZQ91990           CL518190CL91000000020.000                    20181212MB1B                9I3    
8190           8190ZQ87570           CL518190CL91000000020.000                    20181212MB1B                9I3    
8190           8190ZQ89910           CL518190CL91000000020.000                    20181212MB1B                9I3    
8190           8190ZF36800           SXA28190SX21000000020.000                    20181212MB1B                9I3    
