8190           8190ZT43800           FL218190FL51000000005.000                    20180911MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180911MB1B                9I3    
8190           8190ZP63740           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180911MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180911MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180911MB1B                9I3    
8190           8190ZU24320           FL218190FL51000000005.000                    20180911MB1B                9I3    
8190           8190ZU24320           FL218190FL51000000005.000                    20180911MB1B                9I3    
8190           8190ZU02430           FL218190FL51000000005.000                    20180911MB1B                9I3    
8190           8190ZP63850           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP63850           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP66410           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP64870           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP64870           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP64690           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP64660           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP66620           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP66620           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP66620           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP64640           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP64640           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP67190           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP66880           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP66880           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP64150           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180911MB1B                9I3    
8190           8190ZP64720           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP63120           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP64770           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP64510           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP63780           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP64740           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP63650           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP63710           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP63710           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP63670           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP63650           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP63020           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP63080           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP63080           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZT45980           FL218190FL51000000020.000                    20180911MB1B                9I3    
8190           8190ZT45260           FL218190FL51000000020.000                    20180911MB1B                9I3    
8190           8190ZT45260           FL218190FL51000000020.000                    20180911MB1B                9I3    
8190           8190ZT45640           FL218190FL51000000020.000                    20180911MB1B                9I3    
8190           8190ZU02370           FL218190FL51000000005.000                    20180911MB1B                9I3    
8190           8190ZU10820           FL218190FL51000000005.000                    20180911MB1B                9I3    
8190           8190ZU10820           FL218190FL51000000005.000                    20180911MB1B                9I3    
8190           8190ZP63120           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP63160           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP63160           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP63160           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP63160           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP63210           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP63210           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP63210           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP63620           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP63620           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP63640           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP64800           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP64710           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP62900           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP62900           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP62900           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZT45640           FL218190FL51000000020.000                    20180911MB1B                9I3    
8190           8190ZT45520           FL218190FL51000000020.000                    20180911MB1B                9I3    
8190           8190ZT45710           FL218190FL51000000020.000                    20180911MB1B                9I3    
8190           8190ZT43910           FL218190FL51000000020.000                    20180911MB1B                9I3    
8190           8190ZT45800           FL218190FL51000000020.000                    20180911MB1B                9I3    
8190           8190ZT44730           FL218190FL51000000020.000                    20180911MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180911MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180911MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180911MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180911MB1B                9I3    
8190           8190ZT45710           FL218190FL51000000020.000                    20180911MB1B                9I3    
8190           8190ZU02600           FL218190FL51000000020.000                    20180911MB1B                9I3    
8190           8190ZU02600           FL218190FL51000000020.000                    20180911MB1B                9I3    
8190           8190VAS1340           SXA08190SX21000000060.000                    20180911MB1B                9I3    
8190           8190VAS1340           SXA08190SX21000000060.000                    20180911MB1B                9I3    
8190           8190ZU02600           FL218190FL51000000020.000                    20180911MB1B                9I3    
8190           8190ZU03210           FL218190FL51000000020.000                    20180911MB1B                9I3    
8190           8190ZA14780           SX518190SX91000000001.000                    20180911MB1B                9I3    
8190           8190ZJ32730           SXA18190SX21000000001.000                    20180910MB1B                9I3    
8190           8190ZT43910           FL218190FL51000000020.000                    20180911MB1B                9I3    
