8190           8190ZP66280           SXA08190SX21000000028.000                    20181105MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20181105MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20181105MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20181105MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20181105MB1B                9I3    
8190           8190ZP63570           SXA08190SX21000000030.000                    20181105MB1B                9I3    
8190           8190ZP63390           SXA08190SX21000000030.000                    20181105MB1B                9I3    
8190           8190ZP63390           SXA08190SX21000000030.000                    20181105MB1B                9I3    
8190           8190ZP63390           SXA08190SX21000000030.000                    20181105MB1B                9I3    
8190           8190ZP63390           SXA08190SX21000000030.000                    20181105MB1B                9I3    
8190           8190ZP63390           SXA08190SX21000000030.000                    20181105MB1B                9I3    
8190           8190ZP66880           SXA08190SX21000000030.000                    20181105MB1B                9I3    
8190           8190ZP66410           SXA08190SX21000000016.000                    20181105MB1B                9I3    
8190           8190ZP64240           SXA08190SX21000000030.000                    20181105MB1B                9I3    
8190           8190ZP63790           SXA08190SX21000000030.000                    20181105MB1B                9I3    
8190           8190ZP63570           SXA08190SX21000000030.000                    20181105MB1B                9I3    
8190           8190ZP63570           SXA08190SX21000000030.000                    20181105MB1B                9I3    
8190           8190ZP63570           SXA08190SX21000000030.000                    20181105MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20181105MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20181105MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20181105MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20181105MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20181105MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20181105MB1B                9I3    
8190           8190ZP62630           FLA08190FL21000000300.000                    20181105MB1B                9I3    
8190           8190ZP62630           FLA08190FL21000000300.000                    20181105MB1B                9I3    
8190           8190ZE20540           FLA18190FL21000000010.000                    20181105MB1B                9I3    
8190           8190ZP63570           SXA08190SX21000000030.000                    20181105MB1B                9I3    
8190           8190W59455F           SXA08190SX51000000050.000                    20181105MB1B                9I3    
8190           8190ZP66470           SXA08190SX21000000028.000                    20181105MB1B                9I3    
8190           8190ZA1479C           SX218190SX51000000001.000                    20181105MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20181105MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20181105MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20181105MB1B                9I3    
8190           8190ZP66260           SXA08190SX21000000028.000                    20181105MB1B                9I3    
8190           8190ZP66260           SXA08190SX21000000028.000                    20181105MB1B                9I3    
8190           8190ZP66260           SXA08190SX21000000028.000                    20181105MB1B                9I3    
8190           8190ZP66260           SXA08190SX21000000028.000                    20181105MB1B                9I3    
8190           8190ZP66260           SXA08190SX21000000028.000                    20181105MB1B                9I3    
8190           8190ZP66250           SXA08190SX21000000028.000                    20181105MB1B                9I3    
8190           8190ZP66250           SXA08190SX21000000028.000                    20181105MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20181105MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20181105MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20181105MB1B                9I3    
8190           8190ZA1479C           SX218190SX51000000001.000                    20181105MB1B                9I3    
8190           8190ZA1479C           SX218190SX51000000001.000                    20181105MB1B                9I3    
8190           8190ZA1479C           SX218190SX51000000001.000                    20181105MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181105MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181105MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181105MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181105MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181105MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181105MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181105MB1B                9I3    
8190           8190ZP66250           SXA08190SX21000000028.000                    20181105MB1B                9I3    
8190           8190ZP67340           SXA08190SX21000000028.000                    20181105MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20181105MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20181105MB1B                9I3    
8190           8190ZP66590           SXA08190SX21000000060.000                    20181105MB1B                9I3    
8190           8190ZP66590           SXA08190SX21000000060.000                    20181105MB1B                9I3    
8190           8190ZP66590           SXA08190SX21000000060.000                    20181105MB1B                9I3    
8190           8190ZP66590           SXA08190SX21000000060.000                    20181105MB1B                9I3    
8190           8190ZP66590           SXA08190SX21000000060.000                    20181105MB1B                9I3    
8190           8190ZP66590           SXA08190SX21000000060.000                    20181105MB1B                9I3    
8190           8190ZP67360           SXA08190SX21000000030.000                    20181105MB1B                9I3    
8190           8190ZP67360           SXA08190SX21000000030.000                    20181105MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20181105MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20181105MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20181105MB1B                9I3    
8190           8190ZP67340           SXA08190SX21000000028.000                    20181105MB1B                9I3    
8190           8190ZP66720           SXA08190SX21000000060.000                    20181105MB1B                9I3    
8190           8190ZP66720           SXA08190SX21000000060.000                    20181105MB1B                9I3    
8190           8190ZP64540           SXA08190SX21000000030.000                    20181105MB1B                9I3    
8190           8190ZP66270           SXA08190SX21000000028.000                    20181105MB1B                9I3    
8190           8190ZP66270           SXA08190SX21000000028.000                    20181105MB1B                9I3    
8190           8190ZP66270           SXA08190SX21000000028.000                    20181105MB1B                9I3    
8190           8190ZP66270           SXA08190SX21000000028.000                    20181105MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20181105MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20181105MB1B                9I3    
8190           8190ZP67360           SXA08190SX21000000030.000                    20181105MB1B                9I3    
8190           8190ZF36870           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZP63600           FLA08190FL21000000040.000                    20181105MB1B                9I3    
8190           8190ZP63650           FLA08190FL21000000040.000                    20181105MB1B                9I3    
8190           8190ZP63650           FLA08190FL21000000040.000                    20181105MB1B                9I3    
8190           8190ZP63650           FLA08190FL21000000040.000                    20181105MB1B                9I3    
8190           8190ZP63650           FLA08190FL21000000040.000                    20181105MB1B                9I3    
8190           8190ZP63630           FLA08190FL21000000040.000                    20181105MB1B                9I3    
8190           8190ZP63020           FLA08190FL21000000040.000                    20181105MB1B                9I3    
8190           8190ZP63670           FLA08190FL21000000040.000                    20181105MB1B                9I3    
8190           8190ZP63670           FLA08190FL21000000040.000                    20181105MB1B                9I3    
8190           8190ZP63670           FLA08190FL21000000040.000                    20181105MB1B                9I3    
8190           8190ZP63710           FLA08190FL21000000040.000                    20181105MB1B                9I3    
8190           8190ZP63800           FLA08190FL21000000040.000                    20181105MB1B                9I3    
8190           8190ZP63800           FLA08190FL21000000040.000                    20181105MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20181105MB1B                9I3    
8190           8190ZP63600           FLA08190FL21000000040.000                    20181105MB1B                9I3    
8190           8190ZP63600           FLA08190FL21000000040.000                    20181105MB1B                9I3    
8190           8190ZP65030           FLA08190FL21000000040.000                    20181105MB1B                9I3    
8190           8190ZU49290           FLA08190FL21000000040.000                    20181105MB1B                9I3    
8190           8190ZU49290           FLA08190FL21000000040.000                    20181105MB1B                9I3    
8190           8190ZU49290           FLA08190FL21000000040.000                    20181105MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20181105MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20181105MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20181105MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20181105MB1B                9I3    
8190           8190ZP63710           FLA08190FL21000000040.000                    20181105MB1B                9I3    
8190           8190ZP63710           FLA08190FL21000000040.000                    20181105MB1B                9I3    
8190           8190ZY51560           FLA08190FLA1000000010.000                    20181105MB1B                9I3    
8190           8190ZY51560           FLA08190FLA1000000010.000                    20181105MB1B                9I3    
8190           8190ZR02440           SX518190SX91000000008.000                    20181105MB1B                9I3    
8190           8190WQ4642E           SX218190SX51000000005.000                    20181105MB1B                9I3    
8190           8190ZQ98670           SX218190SX51000000008.000                    20181105MB1B                9I3    
8190           8190ZP63750           FLA08190FL51000000040.000                    20181105MB1B                9I3    
8190           8190ZQ98670           SX218190SX51000000008.000                    20181105MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181101MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181101MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181102MB1B                9I3    
8190           8190ZY51560           FLA08190FLA1000000010.000                    20181105MB1B                9I3    
8190           8190ZY51560           FLA08190FLA1000000010.000                    20181105MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181105MB1B                9I3    
8190           8190ZP63800           FLA08190FL21000000040.000                    20181105MB1B                9I3    
8190           8190ZP63820           FLA08190FL21000000040.000                    20181105MB1B                9I3    
8190           8190ZP63820           FLA08190FL21000000040.000                    20181105MB1B                9I3    
8190           8190ZP63890           FLA08190FL21000000040.000                    20181105MB1B                9I3    
8190           8190ZP63890           FLA08190FL21000000040.000                    20181105MB1B                9I3    
8190           8190ZP64140           FLA08190FL21000000040.000                    20181105MB1B                9I3    
8190           8190ZP64140           FLA08190FL21000000040.000                    20181105MB1B                9I3    
8190           8190ZP64140           FLA08190FL21000000040.000                    20181105MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181105MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181105MB1B                9I3    
8190           8190ZP63750           FLA08190FL51000000040.000                    20181102MB1B                9I3    
8190           8190ZP63600           FLA08190FL21000000040.000                    20181105MB1B                9I3    
8190           8190ZP63520           FLA08190FL21000000040.000                    20181105MB1B                9I3    
8190           8190ZQ84650           SX218190SX51000000015.000                    20181105MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20181105MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20181105MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20181105MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20181105MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20181105MB1B                9I3    
8190           8190ZQ88890           SX218190SX51000000015.000                    20181105MB1B                9I3    
8190           8190ZQ83930           SX218190SX51000000015.000                    20181105MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20181105MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20181105MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20181105MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20181105MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20181105MB1B                9I3    
8190           8190ZP63520           FLA08190FL21000000040.000                    20181105MB1B                9I3    
8190           8190ZU49300           FLA08190FL21000000040.000                    20181105MB1B                9I3    
8190           8190ZU49300           FLA08190FL21000000040.000                    20181105MB1B                9I3    
8190           8190ZU49300           FLA08190FL21000000040.000                    20181105MB1B                9I3    
8190           8190ZQ86250           SX218190SX51000000015.000                    20181105MB1B                9I3    
8190           8190ZQ84100           SX218190SX51000000015.000                    20181105MB1B                9I3    
8190           8190ZQ84100           SX218190SX51000000015.000                    20181105MB1B                9I3    
8190           8190ZQ86000           SX218190SX51000000015.000                    20181105MB1B                9I3    
8190           8190ZQ86000           SX218190SX51000000015.000                    20181105MB1B                9I3    
8190           8190ZQ89110           SX218190SX51000000015.000                    20181105MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20181105MB1B                9I3    
8190           8190ZQ96090           SX218190SX51000000008.000                    20181105MB1B                9I3    
8190           8190ZQ98350           SX218190SX51000000008.000                    20181105MB1B                9I3    
8190           8190ZQ98200           SX218190SX51000000008.000                    20181105MB1B                9I3    
8190           8190ZQ98270           SX218190SX51000000008.000                    20181105MB1B                9I3    
8190           8190ZQ98270           SX218190SX51000000008.000                    20181105MB1B                9I3    
8190           8190ZQ97030           SX218190SX51000000008.000                    20181105MB1B                9I3    
8190           8190ZQ98110           SX218190SX51000000008.000                    20181105MB1B                9I3    
8190           8190ZQ96960           SX218190SX51000000008.000                    20181105MB1B                9I3    
8190           8190ZQ96450           SX218190SX51000000008.000                    20181105MB1B                9I3    
8190           8190ZP63580           FLA08190FL21000000040.000                    20181105MB1B                9I3    
8190           8190ZP63580           FLA08190FL21000000040.000                    20181105MB1B                9I3    
8190           8190ZQ98350           SX218190SX51000000008.000                    20181105MB1B                9I3    
8190           8190ZQ95600           SX218190SX51000000008.000                    20181105MB1B                9I3    
8190           8190ZQ95600           SX218190SX51000000008.000                    20181105MB1B                9I3    
8190           8190ZQ99010           SX218190SX51000000008.000                    20181105MB1B                9I3    
8190           8190ZQ95480           SX218190SX51000000008.000                    20181105MB1B                9I3    
8190           8190ZQ96340           SX218190SX51000000008.000                    20181105MB1B                9I3    
8190           8190ZQ99100           SX218190SX51000000008.000                    20181105MB1B                9I3    
8190           8190ZQ99100           SX218190SX51000000008.000                    20181105MB1B                9I3    
8190           8190ZR01040           SX218190SX51000000008.000                    20181105MB1B                9I3    
8190           8190ZR01040           SX218190SX51000000008.000                    20181105MB1B                9I3    
8190           8190ZQ98440           SX218190SX51000000008.000                    20181105MB1B                9I3    
8190           8190ZQ98440           SX218190SX51000000008.000                    20181105MB1B                9I3    
8190           8190ZQ95910           SX218190SX51000000008.000                    20181105MB1B                9I3    
8190           8190ZP63580           FLA08190FL21000000040.000                    20181105MB1B                9I3    
8190           8190ZR01110           SX518190SX91000000008.000                    20181029MB1B                9I3    
8190           8190ZP63750           FLA08190FL51000000040.000                    20181102MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181102MB1B                9I3    
8190           8190ZR01110           SX518190SX91000000008.000                    20181030MB1B                9I3    
8190           8190ZR01110           SX518190SX91000000008.000                    20181030MB1B                9I3    
8190           8190VAS0010           SX518190SX91000000030.000                    20181102MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181102MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181102MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181102MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181102MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181101MB1B                9I3    
8190           8190ZR01500           SX518190SX91000000008.000                    20181029MB1B                9I3    
8190           8190ZR01500           SX518190SX91000000008.000                    20181029MB1B                9I3    
8190           8190WF9525C           SX218190SX51000000001.000                    20181103MB1B                9I3    
8190           8190ZY51560           FLA08190FLA1000000010.000                    20181102MB1B                9I3    
8190           8190WF9525C           SX218190SX51000000001.000                    20181103MB1B                9I3    
8190           8190ZY51560           FLA08190FLA1000000010.000                    20181101MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181102MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181102MB1B                9I3    
8190           8190ZY51560           FLA08190FLA1000000010.000                    20181102MB1B                9I3    
8190           8190ZY51560           FLA08190FLA1000000010.000                    20181102MB1B                9I3    
8190           8190ZJ2997B           CL518190CLB9000000020.000                    20181031MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181102MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181101MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181102MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181102MB1B                9I3    
8190           8190WZ9110C           SX218190SX51000000001.000                    20181105MB1B                9I3    
8190           8190ZQ87660           CL218190CL51000000020.000                    20181105MB1B                9I3    
8190           8190ZQ90040           CL218190CL51000000020.000                    20181105MB1B                9I3    
8190           8190ZF36860           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZQ90040           CL218190CL51000000020.000                    20181105MB1B                9I3    
8190           8190ZF36860           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZQ90040           CL218190CL51000000020.000                    20181105MB1B                9I3    
8190           8190ZF36860           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZQ90040           CL218190CL51000000020.000                    20181105MB1B                9I3    
8190           8190ZF36860           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190WZ9110C           SX218190SX51000000001.000                    20181105MB1B                9I3    
8190           8190WZ9110C           SX218190SX51000000001.000                    20181105MB1B                9I3    
8190           8190WZ9110C           SX218190SX51000000001.000                    20181105MB1B                9I3    
8190           8190ZK50340           SXA18190SX21000000005.000                    20181101MB1B                9I3    
8190           8190VAS0010           SX518190SX91000000030.000                    20181102MB1B                9I3    
8190           8190VAS0010           SX518190SX91000000030.000                    20181102MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181101MB1B                9I3    
8190           8190WZ9110C           SX218190SX51000000001.000                    20181105MB1B                9I3    
8190           8190WZ9110C           SX218190SX51000000001.000                    20181105MB1B                9I3    
