8190           8190ZE22580           FLA28190FL21000000030.000                    20190402MB1B                9I3    
8190           8190ZE22590           FLA28190FL21000000030.000                    20190402MB1B                9I3    
8190           8190ZP62720           FLA08190FL21000000040.000                    20190402MB1B                9I3    
8190           8190ZE22600           FLA28190FL21000000030.000                    20190402MB1B                9I3    
8190           8190ZE22560           FLA28190FL21000000030.000                    20190402MB1B                9I3    
8190           8190ZE22530           FLA28190FL21000000030.000                    20190402MB1B                9I3    
8190           8190WF9525C           SX218190SX51000000001.000                    20190402MB1B                9I3    
8190           8190ZA1493C           SX218190SX51000000001.000                    20190402MB1B                9I3    
8190           8190ZA1493C           SX218190SX51000000001.000                    20190402MB1B                9I3    
8190           8190ZE22550           FLA28190FL21000000030.000                    20190402MB1B                9I3    
8190           8190ZE22550           FLA28190FL21000000030.000                    20190402MB1B                9I3    
8190           8190ZE22550           FLA28190FL21000000030.000                    20190402MB1B                9I3    
8190           8190ZE22510           FLA28190FL21000000030.000                    20190402MB1B                9I3    
8190           8190ZE22510           FLA28190FL21000000030.000                    20190402MB1B                9I3    
8190           8190ZE22500           FLA28190FL21000000030.000                    20190402MB1B                9I3    
8190           8190ZE22500           FLA28190FL21000000030.000                    20190402MB1B                9I3    
8190           8190WF9525C           SX218190SX51000000001.000                    20190402MB1B                9I3    
8190           8190ZH4953C           SX218190SX51000000001.000                    20190402MB1B                9I3    
8190           8190ZH4953C           SX218190SX51000000001.000                    20190402MB1B                9I3    
8190           8190ZE22520           FLA28190FL21000000030.000                    20190402MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20190402MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20190402MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20190402MB1B                9I3    
8190           8190ZE22480           FLA28190FL21000000030.000                    20190402MB1B                9I3    
8190           8190ZE22480           FLA28190FL21000000030.000                    20190402MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20190402MB1B                9I3    
