8190           8190ZP62650           FLA08190FL21000000300.000                    20180113MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180113MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180113MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180113MB1B                9I3    
8190           8190ZP64140           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP62010           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP61420           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP61390           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP61950           CLA08190CL21000000100.000                    20180113MB1B                9I3    
8190           8190ZP61950           CLA08190CL21000000100.000                    20180113MB1B                9I3    
8190           8190ZP61950           CLA08190CL21000000100.000                    20180113MB1B                9I3    
8190           8190ZP61960           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP61960           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP61930           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP61940           CLA08190CL21000000100.000                    20180113MB1B                9I3    
8190           8190ZP61920           CLA08190CL21000000100.000                    20180113MB1B                9I3    
8190           8190ZP61420           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP61420           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP61900           CLA08190CL21000000500.000                    20180113MB1B                9I3    
8190           8190ZP62000           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP62000           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP62000           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP61990           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP61990           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP61980           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP61970           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP61970           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP61970           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP61910           CLA08190CL21000000500.000                    20180113MB1B                9I3    
8190           8190ZP61920           CLA08190CL21000000100.000                    20180113MB1B                9I3    
8190           8190ZP61920           CLA08190CL21000000100.000                    20180113MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20180113MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20180113MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20180113MB1B                9I3    
8190           8190ZQ88400           SX218190SX51000000015.000                    20180113MB1B                9I3    
8190           8190ZP63650           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP63650           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP63650           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP63650           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP63800           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP63800           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP63800           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20180113MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20180113MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20180113MB1B                9I3    
8190           8190ZQ86640           SX218190SX51000000015.000                    20180113MB1B                9I3    
8190           8190ZQ86640           SX218190SX51000000015.000                    20180113MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20180113MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20180113MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20180113MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20180113MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20180113MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20180113MB1B                9I3    
8190           8190ZQ86250           SX218190SX51000000015.000                    20180113MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20180113MB1B                9I3    
8190           8190ZP64140           FLA08190FL21000000040.000                    20180113MB1B                9I3    
