8190           8190ZG2966C           CL218190CL51000000180.000                    20171211MB1B                9I3    
8190           8190ZG2964C           CL218190CL51000000180.000                    20171211MB1B                9I3    
8190           8190ZG2961C           CL218190CL51000000180.000                    20171211MB1B                9I3    
8190           8190ZR16910           SX518190SX91000000010.000                    20171211MB1B                9I3    
8190           8190ZQ95120           SX518190SX91000000015.000                    20171211MB1B                9I3    
8190           8190ZQ95120           SX518190SX91000000015.000                    20171211MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20171211MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20171211MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20171211MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20171211MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20171211MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20171211MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20171211MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20171211MB1B                9I3    
8190           8190ZP64860           FLA08190FL21000000040.000                    20171211MB1B                9I3    
8190           8190ZP64860           FLA08190FL21000000040.000                    20171211MB1B                9I3    
8190           8190ZP64860           FLA08190FL21000000040.000                    20171211MB1B                9I3    
8190           8190ZP64860           FLA08190FL21000000040.000                    20171211MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20171211MB1B                9I3    
8190           8190ZP64860           FLA08190FL21000000040.000                    20171211MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20171211MB1B                9I3    
8190           8190ZQ95120           SX518190SX91000000015.000                    20171211MB1B                9I3    
8190           8190ZQ95120           SX518190SX91000000015.000                    20171211MB1B                9I3    
8190           8190ZQ95120           SX518190SX91000000015.000                    20171211MB1B                9I3    
8190           8190ZQ88850           SX518190SX91000000015.000                    20171211MB1B                9I3    
8190           8190ZQ88850           SX518190SX91000000015.000                    20171211MB1B                9I3    
8190           8190ZQ83670           SX518190SX91000000015.000                    20171211MB1B                9I3    
8190           8190ZQ83670           SX518190SX91000000015.000                    20171211MB1B                9I3    
8190           8190ZQ83670           SX518190SX91000000015.000                    20171211MB1B                9I3    
8190           8190ZQ84600           SX518190SX91000000015.000                    20171211MB1B                9I3    
8190           8190ZQ84600           SX518190SX91000000015.000                    20171211MB1B                9I3    
8190           8190ZQ86080           SX518190SX91000000015.000                    20171211MB1B                9I3    
8190           8190ZQ86080           SX518190SX91000000015.000                    20171211MB1B                9I3    
8190           8190ZQ86080           SX518190SX91000000015.000                    20171211MB1B                9I3    
8190           8190ZQ86080           SX518190SX91000000015.000                    20171211MB1B                9I3    
8190           8190ZQ86440           SX518190SX91000000015.000                    20171211MB1B                9I3    
