8190           8190ZQ86690           SX218190SX51000000015.000                    20181004MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20181004MB1B                9I3    
8190           8190ZQ83610           SX218190SX51000000015.000                    20181004MB1B                9I3    
8190           8190ZQ83610           SX218190SX51000000015.000                    20181004MB1B                9I3    
8190           8190ZQ83930           SX218190SX51000000015.000                    20181004MB1B                9I3    
8190           8190ZQ88400           SX218190SX51000000015.000                    20181004MB1B                9I3    
8190           8190ZQ83740           SX218190SX51000000015.000                    20181004MB1B                9I3    
8190           8190ZQ83740           SX218190SX51000000015.000                    20181004MB1B                9I3    
8190           8190ZQ88990           SX218190SX51000000015.000                    20181004MB1B                9I3    
8190           8190ZQ88990           SX218190SX51000000015.000                    20181004MB1B                9I3    
8190           8190ZQ89050           SX218190SX51000000015.000                    20181004MB1B                9I3    
8190           8190ZQ89050           SX218190SX51000000015.000                    20181004MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20181004MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20181004MB1B                9I3    
8190           8190ZQ83930           SX218190SX51000000015.000                    20181004MB1B                9I3    
8190           8190ZQ86640           SX218190SX51000000015.000                    20181004MB1B                9I3    
8190           8190WQ4674B           SX518190SX91000000005.000                    20181004MB1B                9I3    
8190           8190ZE22590           FLA28190FL21000000030.000                    20181004MB1B                9I3    
8190           8190ZE22550           FLA28190FL21000000030.000                    20181004MB1B                9I3    
8190           8190ZE22510           FLA28190FL21000000030.000                    20181004MB1B                9I3    
8190           8190ZE22510           FLA28190FL21000000030.000                    20181004MB1B                9I3    
8190           8190ZE22510           FLA28190FL21000000030.000                    20181004MB1B                9I3    
8190           8190ZE22500           FLA28190FL21000000030.000                    20181004MB1B                9I3    
8190           8190ZE22500           FLA28190FL21000000030.000                    20181004MB1B                9I3    
8190           8190ZE22500           FLA28190FL21000000030.000                    20181004MB1B                9I3    
8190           8190ZE22490           FLA28190FL21000000030.000                    20181004MB1B                9I3    
8190           8190ZE22490           FLA28190FL21000000030.000                    20181004MB1B                9I3    
8190           8190ZE22490           FLA28190FL21000000030.000                    20181004MB1B                9I3    
8190           8190ZE22550           FLA28190FL21000000030.000                    20181004MB1B                9I3    
8190           8190ZE22550           FLA28190FL21000000030.000                    20181004MB1B                9I3    
8190           8190ZE22480           FLA28190FL21000000030.000                    20181004MB1B                9I3    
8190           8190ZE22590           FLA28190FL21000000030.000                    20181004MB1B                9I3    
8190           8190ZE22580           FLA28190FL21000000030.000                    20181004MB1B                9I3    
8190           8190ZE22530           FLA28190FL21000000030.000                    20181004MB1B                9I3    
8190           8190ZE22520           FLA28190FL21000000030.000                    20181004MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20181004MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20181004MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20181004MB1B                9I3    
8190           8190ZE22480           FLA28190FL21000000030.000                    20181004MB1B                9I3    
