8190           8190ZU24320           FL218190FL51000000005.000                    20180924MB1B                9I3    
8190           8190ZU24320           FL218190FL51000000005.000                    20180924MB1B                9I3    
8190           8190ZU24320           FL218190FL51000000005.000                    20180924MB1B                9I3    
8190           8190ZU22760           FL218190FL51000000005.000                    20180924MB1B                9I3    
8190           8190ZU22760           FL218190FL51000000005.000                    20180924MB1B                9I3    
8190           8190ZP63140           FLA08190FL21000000120.000                    20180924MB1B                9I3    
8190           8190ZU49310           FLA08190FL21000000300.000                    20180924MB1B                9I3    
8190           8190ZU49310           FLA08190FL21000000300.000                    20180924MB1B                9I3    
8190           8190ZP62630           FLA08190FL21000000300.000                    20180924MB1B                9I3    
8190           8190ZP62630           FLA08190FL21000000300.000                    20180924MB1B                9I3    
8190           8190ZU24320           FL218190FL51000000005.000                    20180924MB1B                9I3    
8190           8190ZP62670           FLA08190FL21000000100.000                    20180924MB1B                9I3    
8190           8190ZP62670           FLA08190FL21000000100.000                    20180924MB1B                9I3    
8190           8190ZP62690           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP62690           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP62680           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP62680           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP62680           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP62680           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP62670           FLA08190FL21000000100.000                    20180924MB1B                9I3    
8190           8190ZP62670           FLA08190FL21000000100.000                    20180924MB1B                9I3    
8190           8190ZP62670           FLA08190FL21000000100.000                    20180924MB1B                9I3    
8190           8190ZP62670           FLA08190FL21000000100.000                    20180924MB1B                9I3    
8190           8190ZP66250           SXA08190SX21000000028.000                    20180924MB1B                9I3    
8190           8190ZP66250           SXA08190SX21000000028.000                    20180924MB1B                9I3    
8190           8190ZP66250           SXA08190SX21000000028.000                    20180924MB1B                9I3    
8190           8190ZP66700           SXA08190SX21000000016.000                    20180924MB1B                9I3    
8190           8190ZP66610           SXA08190SX21000000060.000                    20180924MB1B                9I3    
8190           8190ZP66700           SXA08190SX21000000016.000                    20180924MB1B                9I3    
8190           8190ZP66610           SXA08190SX21000000060.000                    20180924MB1B                9I3    
8190           8190ZP66610           SXA08190SX21000000060.000                    20180924MB1B                9I3    
8190           8190ZP66610           SXA08190SX21000000060.000                    20180924MB1B                9I3    
8190           8190ZP66610           SXA08190SX21000000060.000                    20180924MB1B                9I3    
8190           8190ZP66610           SXA08190SX21000000060.000                    20180924MB1B                9I3    
8190           8190ZP66590           SXA08190SX21000000060.000                    20180924MB1B                9I3    
8190           8190ZP66590           SXA08190SX21000000060.000                    20180924MB1B                9I3    
8190           8190ZP66610           SXA08190SX21000000060.000                    20180924MB1B                9I3    
8190           8190ZP66610           SXA08190SX21000000060.000                    20180924MB1B                9I3    
8190           8190ZP66610           SXA08190SX21000000060.000                    20180924MB1B                9I3    
8190           8190ZP67360           SXA08190SX21000000030.000                    20180924MB1B                9I3    
8190           8190ZP67360           SXA08190SX21000000030.000                    20180924MB1B                9I3    
8190           8190ZP67360           SXA08190SX21000000030.000                    20180924MB1B                9I3    
8190           8190ZP64480           SXA08190SX21000000025.000                    20180924MB1B                9I3    
8190           8190ZP64480           SXA08190SX21000000025.000                    20180924MB1B                9I3    
8190           8190ZP66700           SXA08190SX21000000016.000                    20180924MB1B                9I3    
8190           8190ZP66720           SXA08190SX21000000060.000                    20180924MB1B                9I3    
8190           8190ZP66720           SXA08190SX21000000060.000                    20180924MB1B                9I3    
8190           8190ZP66700           SXA08190SX21000000016.000                    20180924MB1B                9I3    
8190           8190ZP66700           SXA08190SX21000000016.000                    20180924MB1B                9I3    
8190           8190ZP66590           SXA08190SX21000000060.000                    20180924MB1B                9I3    
8190           8190ZP62720           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP63430           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP63180           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP63180           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20180924MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20180924MB1B                9I3    
8190           8190ZT42880           SX218190SX51000000008.000                    20180924MB1B                9I3    
8190           8190ZT42880           SX218190SX51000000008.000                    20180924MB1B                9I3    
