8190           8190ZP62070           CLA08190CL21000000040.000                    20171205MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171205MB1B                9I3    
8190           8190WF9195A           SX518190SX91000000025.000                    20171205MB1B                9I3    
8190           8190ZP63490           FLA08190FL21000000040.000                    20171205MB1B                9I3    
8190           8190ZP63030           FLA08190FL21000000040.000                    20171205MB1B                9I3    
8190           8190ZP64880           FLA08190FL21000000040.000                    20171205MB1B                9I3    
8190           8190ZP64880           FLA08190FL21000000040.000                    20171205MB1B                9I3    
8190           8190ZP64940           FLA08190FL21000000040.000                    20171205MB1B                9I3    
8190           8190ZP64930           FLA08190FL21000000040.000                    20171205MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171205MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171205MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171205MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171205MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171205MB1B                9I3    
8190           8190ZP63030           FLA08190FL21000000040.000                    20171205MB1B                9I3    
8190           8190ZP63030           FLA08190FL21000000040.000                    20171205MB1B                9I3    
8190           8190ZP63420           FLA08190FL21000000040.000                    20171205MB1B                9I3    
8190           8190ZP63490           FLA08190FL21000000040.000                    20171205MB1B                9I3    
8190           8190ZP63490           FLA08190FL21000000040.000                    20171205MB1B                9I3    
8190           8190ZP63490           FLA08190FL21000000040.000                    20171205MB1B                9I3    
8190           8190ZP63490           FLA08190FL21000000040.000                    20171205MB1B                9I3    
8190           8190ZP63470           FLA08190FL21000000040.000                    20171205MB1B                9I3    
8190           8190ZP63470           FLA08190FL21000000040.000                    20171205MB1B                9I3    
8190           8190ZP63430           FLA08190FL21000000040.000                    20171205MB1B                9I3    
8190           8190ZP63430           FLA08190FL21000000040.000                    20171205MB1B                9I3    
8190           8190ZP63430           FLA08190FL21000000040.000                    20171205MB1B                9I3    
8190           8190ZP63420           FLA08190FL21000000040.000                    20171205MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171205MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171205MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171205MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171205MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171205MB1B                9I3    
8190           8190ZP64820           FLA08190FL21000000040.000                    20171205MB1B                9I3    
8190           8190ZP64820           FLA08190FL21000000040.000                    20171205MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171205MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171205MB1B                9I3    
8190           8190ZT45070           FL218190FL51000000020.000                    20171205MB1B                9I3    
8190           8190ZT45070           FL218190FL51000000020.000                    20171205MB1B                9I3    
8190           8190ZT45070           FL218190FL51000000020.000                    20171205MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171205MB1B                9I3    
8190           8190ZP64860           FLA08190FL21000000040.000                    20171205MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171205MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171205MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171205MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171205MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171205MB1B                9I3    
8190           8190ZP64860           FLA08190FL21000000040.000                    20171205MB1B                9I3    
8190           8190ZP64860           FLA08190FL21000000040.000                    20171205MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171205MB1B                9I3    
8190           8190ZP64860           FLA08190FL21000000040.000                    20171205MB1B                9I3    
8190           8190ZP64860           FLA08190FL21000000040.000                    20171205MB1B                9I3    
8190           8190ZP64860           FLA08190FL21000000040.000                    20171205MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171205MB1B                9I3    
8190           8190ZP63500           FLA08190FL21000000040.000                    20171205MB1B                9I3    
8190           8190ZQ86250           SX218190SX51000000015.000                    20171205MB1B                9I3    
8190           8190WF9812E           SX518190SX91000000015.000                    20171128MB1B                9I3    
8190           8190ZT44660           FL218190FL51000000020.000                    20171130MB1B                9I3    
8190           8190ZQ99270           SX518190SX91000000008.000                    20171124MB1B                9I3    
8190           8190ZQ91900           CL218190CL51000000020.000                    20171205MB1B                9I3    
8190           8190ZQ91900           CL218190CL51000000020.000                    20171205MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20171205MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20171205MB1B                9I3    
8190           8190ZQ94750           SX218190SX51000000008.000                    20171205MB1B                9I3    
8190           8190ZQ94750           SX218190SX51000000008.000                    20171205MB1B                9I3    
8190           8190ZQ88520           SX218190SX51000000015.000                    20171205MB1B                9I3    
8190           8190ZR23750           CL218190CL51000000020.000                    20171129MB1B                9I3    
8190           8190ZR23750           CL218190CL51000000020.000                    20171129MB1B                9I3    
8190           8190WF9195A           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZQ90570           CL218190CL51000000020.000                    20171205MB1B                9I3    
8190           8190ZQ87550           CL218190CL51000000020.000                    20171205MB1B                9I3    
8190           8190WF9195A           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190WF9195A           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190WF9195A           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190WF9195A           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190W60550A           SX518190SX91000000016.000                    20171204MB1B                9I31   
8190           8190WF9195A           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190WF9195A           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190WF9195A           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZQ99790           SX218190SX51000000008.000                    20171205MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20171205MB1B                9I3    
8190           8190ZP68020           SXA08190SX21000000016.000                    20171205MB1B                9I3    
8190           8190ZP68020           SXA08190SX21000000016.000                    20171205MB1B                9I3    
8190           8190ZP67980           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZP67980           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZP67980           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZP67960           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZU49330           FLA08190FL21000000040.000                    20171205MB1B                9I3    
8190           8190ZU49270           FLA08190FL21000000200.000                    20171205MB1B                9I3    
8190           8190ZU49270           FLA08190FL21000000200.000                    20171205MB1B                9I3    
8190           8190ZU49270           FLA08190FL21000000200.000                    20171205MB1B                9I3    
8190           8190ZP68040           SXA08190SX21000000016.000                    20171205MB1B                9I3    
8190           8190ZP66950           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZP66950           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20171205MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20171205MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20171205MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20171205MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20171205MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20171205MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20171205MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20171205MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20171205MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20171205MB1B                9I3    
8190           8190ZU49270           FLA08190FL21000000200.000                    20171205MB1B                9I3    
8190           8190ZP64190           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZQ95600           SX218190SX51000000008.000                    20171205MB1B                9I3    
8190           8190ZP67400           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZP67350           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZP67350           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZP67350           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZP67350           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZP67330           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZP67330           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZP67300           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZP67300           SXA08190SX21000000030.000                    20171205MB1B                9I3    
