8190           8190ZP62020           CLA08190CL21000000040.000                    20180216MB1B                9I3    
8190           8190ZP62020           CLA08190CL21000000040.000                    20180216MB1B                9I3    
8190           8190ZP62010           CLA08190CL21000000040.000                    20180216MB1B                9I3    
8190           8190ZP61990           CLA08190CL21000000040.000                    20180216MB1B                9I3    
8190           8190ZP61990           CLA08190CL21000000040.000                    20180216MB1B                9I3    
8190           8190ZP61980           CLA08190CL21000000040.000                    20180216MB1B                9I3    
8190           8190WY75770           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZQ89940           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190ZQ90040           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190ZQ91970           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190ZQ92030           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190ZQ92030           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190ZQ89530           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190ZQ89530           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190ZQ89830           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190ZQ91900           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZQ90040           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190ZQ87660           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZQ89940           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZQ89940           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190ZQ89830           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190ZQ89830           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190ZQ89830           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190ZP62560           CLA08190CL21000000040.000                    20180216MB1B                9I3    
8190           8190ZV15070           CLA08190CL21000000040.000                    20180216MB1B                9I3    
8190           8190ZV15070           CLA08190CL21000000040.000                    20180216MB1B                9I3    
8190           8190ZV15070           CLA08190CL21000000040.000                    20180216MB1B                9I3    
8190           8190ZV15070           CLA08190CL21000000040.000                    20180216MB1B                9I3    
8190           8190ZV15070           CLA08190CL21000000040.000                    20180216MB1B                9I3    
8190           8190ZV15070           CLA08190CL21000000040.000                    20180216MB1B                9I3    
8190           8190ZV15070           CLA08190CL21000000040.000                    20180216MB1B                9I3    
8190           8190ZP62180           CLA08190CL21000000040.000                    20180216MB1B                9I3    
8190           8190ZP62560           CLA08190CL21000000040.000                    20180216MB1B                9I3    
8190           8190ZP62560           CLA08190CL21000000040.000                    20180216MB1B                9I3    
8190           8190ZQ89830           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190ZQ87890           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190ZQ87890           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190ZQ87890           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190ZQ87600           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190ZQ87600           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190ZQ89650           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190ZQ90160           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190ZP62560           CLA08190CL21000000040.000                    20180216MB1B                9I3    
8190           8190ZP62180           CLA08190CL21000000040.000                    20180216MB1B                9I3    
8190           8190ZP66210           SXA08190SX21000000030.000                    20180216MB1B                9I3    
8190           8190ZT45170           FL218190FL51000000020.000                    20180216MB1B                9I3    
8190           8190ZT45920           FL218190FL51000000020.000                    20180216MB1B                9I3    
8190           8190ZT45920           FL218190FL51000000020.000                    20180216MB1B                9I3    
8190           8190ZT45920           FL218190FL51000000020.000                    20180216MB1B                9I3    
8190           8190ZT45980           FL218190FL51000000020.000                    20180216MB1B                9I3    
8190           8190ZT45980           FL218190FL51000000020.000                    20180216MB1B                9I3    
8190           8190ZT45980           FL218190FL51000000020.000                    20180216MB1B                9I3    
8190           8190ZT45980           FL218190FL51000000020.000                    20180216MB1B                9I3    
8190           8190ZT44180           FL218190FL51000000020.000                    20180216MB1B                9I3    
8190           8190ZU03150           FL218190FL51000000020.000                    20180216MB1B                9I3    
8190           8190ZT45860           FL218190FL51000000020.000                    20180216MB1B                9I3    
8190           8190ZT45860           FL218190FL51000000020.000                    20180216MB1B                9I3    
8190           8190ZT45520           FL218190FL51000000020.000                    20180216MB1B                9I3    
8190           8190ZT45520           FL218190FL51000000020.000                    20180216MB1B                9I3    
8190           8190ZT45520           FL218190FL51000000020.000                    20180216MB1B                9I3    
8190           8190ZT45590           FL218190FL51000000020.000                    20180216MB1B                9I3    
8190           8190ZT45720           FL218190FL51000000020.000                    20180216MB1B                9I3    
8190           8190ZT45640           FL218190FL51000000020.000                    20180216MB1B                9I3    
8190           8190ZT45640           FL218190FL51000000020.000                    20180216MB1B                9I3    
8190           8190ZT45640           FL218190FL51000000020.000                    20180216MB1B                9I3    
8190           8190ZT91470           FL218190FL51000000020.000                    20180216MB1B                9I3    
8190           8190ZT45380           FL218190FL51000000020.000                    20180216MB1B                9I3    
